"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Adler_2018_Expt1_taskA",1,"1",0.732459513568756,-0.113194020455623,0.113194020455623,-1,"-1",0.0527040768786512,-0.0527040768786512,"1",0.01,0.01,0.01,0
"2","Adler_2018_Expt1_taskA",1,"1",0.975862728104403,-0.371925612589553,0.371925612589553,-1,"-1",0.113194020455623,-0.113194020455623,"1",0.01,0.01,0.01,0
"3","Adler_2018_Expt1_taskA",1,"1",1.49580013585728,-0.0291893115685438,0.0291893115685438,-1,"-1",0.371925612589553,-0.371925612589553,"1",0.01,0.01,0.01,0
"4","Adler_2018_Expt1_taskA",1,"1",2.57106510094309,0.101474496197384,0.101474496197384,1,"-1",0.0291893115685438,-0.0291893115685438,"1",0.01,0.01,0.01,1
"5","Adler_2018_Expt1_taskA",1,"0",5.35778641020806,0.031875282076043,0.031875282076043,1,"1",0.101474496197384,0.101474496197384,"1",0.01,0.01,0.01,0
"6","Adler_2018_Expt1_taskA",1,"1",0.636306518561469,0.0186104912583551,0.0186104912583551,1,"1",0.031875282076043,0.031875282076043,"-1",0.01,0.01,-0.01,1
"7","Adler_2018_Expt1_taskA",1,"1",0.558927028519975,0.174778742712888,0.174778742712888,1,"1",0.0186104912583551,0.0186104912583551,"1",0.01,0.01,0.01,1
"8","Adler_2018_Expt1_taskA",1,"0",0.794688703314023,-0.0105704173206619,0.0105704173206619,-1,"1",0.174778742712888,0.174778742712888,"1",0.01,0.01,0.01,1
"9","Adler_2018_Expt1_taskA",1,"1",0.574135379629297,0.0491635977130722,0.0491635977130722,1,"-1",0.0105704173206619,-0.0105704173206619,"-1",0.01,0.01,-0.01,1
"10","Adler_2018_Expt1_taskA",1,"1",0.561011726262223,0.171030345737157,0.171030345737157,1,"1",0.0491635977130722,0.0491635977130722,"1",0.01,0.01,0.01,1
"11","Adler_2018_Expt1_taskA",1,"1",0.580973829666618,-0.0630891091401359,0.0630891091401359,-1,"1",0.171030345737157,0.171030345737157,"1",0.01,0.01,0.01,0
"12","Adler_2018_Expt1_taskA",1,"1",1.08474681185544,-0.126239249810884,0.126239249810884,-1,"-1",0.0630891091401359,-0.0630891091401359,"1",0.01,0.01,0.01,0
"13","Adler_2018_Expt1_taskA",1,"0",0.676294549190061,-0.213295494677791,0.213295494677791,-1,"-1",0.126239249810884,-0.126239249810884,"1",0.01,0.01,0.01,1
"14","Adler_2018_Expt1_taskA",1,"0",0.601086031307204,0.0579314347673996,0.0579314347673996,1,"-1",0.213295494677791,-0.213295494677791,"-1",0.01,0.01,-0.01,0
"15","Adler_2018_Expt1_taskA",1,"1",1.57236563161132,-0.0208110742424444,0.0208110742424444,-1,"1",0.0579314347673996,0.0579314347673996,"-1",0.01,0.01,-0.01,0
"16","Adler_2018_Expt1_taskA",1,"1",0.034108541552996,-0.163652855130588,0.163652855130588,-1,"-1",0.0208110742424444,-0.0208110742424444,"1",0.01,0.01,0.01,0
"17","Adler_2018_Expt1_taskA",1,"1",0.482247355481377,0.0159535982934758,0.0159535982934758,1,"-1",0.163652855130588,-0.163652855130588,"1",0.01,0.01,0.01,1
"18","Adler_2018_Expt1_taskA",1,"1",0.482482445240748,0.13650053503989,0.13650053503989,1,"1",0.0159535982934758,0.0159535982934758,"1",0.01,0.01,0.01,1
"19","Adler_2018_Expt1_taskA",1,"1",0.532417691323644,-0.0439544145695463,0.0439544145695463,-1,"1",0.13650053503989,0.13650053503989,"1",0.01,0.01,0.01,0
"20","Adler_2018_Expt1_taskA",1,"1",0.417830515998503,-0.0145632325903134,0.0145632325903134,-1,"-1",0.0439544145695463,-0.0439544145695463,"1",0.01,0.01,0.01,0
"21","Adler_2018_Expt1_taskA",1,"1",0.731804277031188,-0.040233093879161,0.040233093879161,-1,"-1",0.0145632325903134,-0.0145632325903134,"1",0.01,0.01,0.01,0
"22","Adler_2018_Expt1_taskA",1,"1",0.458515797836299,0.406700192162871,0.406700192162871,1,"-1",0.040233093879161,-0.040233093879161,"1",0.01,0.01,0.01,1
"23","Adler_2018_Expt1_taskA",1,"1",0.690418216025137,-0.0307174757881084,0.0307174757881084,-1,"1",0.406700192162871,0.406700192162871,"1",0.01,0.01,0.01,0
"24","Adler_2018_Expt1_taskA",1,"1",1.21564145508091,-0.0498773787012572,0.0498773787012572,-1,"-1",0.0307174757881084,-0.0307174757881084,"1",0.01,0.01,0.01,0
"25","Adler_2018_Expt1_taskA",1,"0",0.479247635794309,-0.320029316416417,0.320029316416417,-1,"-1",0.0498773787012572,-0.0498773787012572,"1",0.01,0.01,0.01,1
