"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Law_unpub",2,"0",0.640878915786743,0.505,0.505,1,"1",0.01,0.01,"-1",0.34,0.01,-0.34,0
"2","Law_unpub",2,"1",0.273489952087402,0.2575,0.2575,1,"1",0.505,0.505,"-1",0.01,0.01,-0.01,1
"3","Law_unpub",2,"0",0.210095167160034,-0.01,0.01,-1,"1",0.2575,0.2575,"1",0.01,0.01,0.01,1
"4","Law_unpub",2,"1",0.21715784072876,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,0
"5","Law_unpub",2,"0",0.848357915878296,0.505,0.505,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
"6","Law_unpub",2,"0",1.16070103645325,-0.7525,0.7525,-1,"1",0.505,0.505,"-1",0.01,0.01,-0.01,1
"7","Law_unpub",2,"1",0.800266027450562,1,1,1,"-1",0.7525,-0.7525,"-1",0.01,0.34,-0.01,1
"8","Law_unpub",2,"0",0.649225950241089,0.505,0.505,1,"1",1,1,"1",0.34,0.34,0.34,0
"9","Law_unpub",2,"1",1.14578795433044,1,1,1,"1",0.505,0.505,"-1",0.34,1,-0.34,1
"10","Law_unpub",2,"0",0.407344102859497,-1,1,-1,"1",1,1,"1",1,1,1,1
"11","Law_unpub",2,"1",0.269162178039551,0.505,0.505,1,"-1",1,-1,"-1",1,1,-1,1
"12","Law_unpub",2,"0",0.24583101272583,-0.01,0.01,-1,"1",0.505,0.505,"1",1,1,1,1
"13","Law_unpub",2,"1",0.283260822296143,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"14","Law_unpub",2,"0",0.277004957199097,-0.505,0.505,-1,"1",0.01,0.01,"1",1,1,1,1
"15","Law_unpub",2,"1",0.59974193572998,0.01,0.01,1,"-1",0.505,-0.505,"-1",1,0.01,-1,1
"16","Law_unpub",2,"1",0.992991924285889,0.505,0.505,1,"1",0.01,0.01,"1",0.01,0.01,0.01,1
"17","Law_unpub",2,"1",0.359344959259033,1,1,1,"1",0.505,0.505,"1",0.01,0.01,0.01,1
"18","Law_unpub",2,"0",0.756712913513184,-1,1,-1,"1",1,1,"1",0.01,0.34,0.01,1
"19","Law_unpub",2,"1",0.975221872329712,-0.505,0.505,-1,"-1",1,-1,"-1",0.34,0.34,-0.34,0
"20","Law_unpub",2,"0",0.249372005462646,0.7525,0.7525,1,"-1",0.505,-0.505,"1",0.34,0.34,0.34,0
"21","Law_unpub",2,"0",0.590885877609253,-1,1,-1,"1",0.7525,0.7525,"-1",0.34,0.34,-0.34,1
"22","Law_unpub",2,"1",0.200047016143799,-0.505,0.505,-1,"-1",1,-1,"-1",0.34,0.34,-0.34,0
"23","Law_unpub",2,"0",0.190160036087036,-0.2575,0.2575,-1,"-1",0.505,-0.505,"1",0.34,0.34,0.34,1
"24","Law_unpub",2,"1",0.202100992202759,-0.2575,0.2575,-1,"-1",0.2575,-0.2575,"-1",0.34,0.34,-0.34,0
"25","Law_unpub",2,"0",0.496176958084106,1,1,1,"-1",0.2575,-0.2575,"1",0.34,0.34,0.34,0
"26","Law_unpub",2,"1",0.314597129821777,-1,1,-1,"1",1,1,"-1",0.34,0.01,-0.34,0
"27","Law_unpub",2,"0",0.456519842147827,-0.505,0.505,-1,"-1",1,-1,"1",0.01,0.01,0.01,1
"28","Law_unpub",2,"0",0.581614971160889,-1,1,-1,"-1",0.505,-0.505,"-1",0.01,0.01,-0.01,1
"29","Law_unpub",2,"0",0.733772039413452,-0.505,0.505,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,1
"30","Law_unpub",2,"1",0.341155052185059,-0.01,0.01,-1,"-1",0.505,-0.505,"-1",0.01,0.01,-0.01,0
"31","Law_unpub",2,"0",0.344259977340698,-0.01,0.01,-1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,1
"32","Law_unpub",2,"1",0.244558095932007,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,0
"33","Law_unpub",2,"0",0.94498610496521,0.7525,0.7525,1,"-1",0.505,-0.505,"1",0.01,0.01,0.01,0
"34","Law_unpub",2,"1",0.247971057891846,0.01,0.01,1,"1",0.7525,0.7525,"-1",0.01,0.01,-0.01,1
"35","Law_unpub",2,"0",0.613496065139771,0.505,0.505,1,"1",0.01,0.01,"1",0.01,0.01,0.01,0
"36","Law_unpub",2,"1",0.673782825469971,0.01,0.01,1,"1",0.505,0.505,"-1",0.01,0.34,-0.01,1
"37","Law_unpub",2,"0",0.302639961242676,-0.01,0.01,-1,"1",0.01,0.01,"1",0.34,0.34,0.34,1
"38","Law_unpub",2,"0",0.89148998260498,0.505,0.505,1,"-1",0.01,-0.01,"-1",0.34,0.01,-0.34,0
"39","Law_unpub",2,"1",0.40205979347229,1,1,1,"1",0.505,0.505,"-1",0.01,0.01,-0.01,1
"40","Law_unpub",2,"0",1.10278296470642,0.505,0.505,1,"1",1,1,"1",0.01,0.01,0.01,0
"41","Law_unpub",2,"1",0.974102973937988,0.7525,0.7525,1,"1",0.505,0.505,"-1",0.01,0.34,-0.01,1
"42","Law_unpub",2,"0",0.76030707359314,0.2575,0.2575,1,"1",0.7525,0.7525,"1",0.34,0.34,0.34,0
"43","Law_unpub",2,"0",1.45191407203674,1,1,1,"1",0.2575,0.2575,"-1",0.34,0.01,-0.34,0
"44","Law_unpub",2,"0",0.503981828689575,-1,1,-1,"1",1,1,"-1",0.01,0.01,-0.01,1
"45","Law_unpub",2,"0",0.484505891799927,-0.505,0.505,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,1
"46","Law_unpub",2,"0",0.437875032424927,-0.01,0.01,-1,"-1",0.505,-0.505,"-1",0.01,0.01,-0.01,1
"47","Law_unpub",2,"1",0.600872993469238,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,0
"48","Law_unpub",2,"1",0.523108959197998,0.7525,0.7525,1,"-1",0.505,-0.505,"1",0.01,0.01,0.01,1
"49","Law_unpub",2,"1",0.673784017562866,0.01,0.01,1,"1",0.7525,0.7525,"1",0.01,0.01,0.01,1
"50","Law_unpub",2,"0",0.487633943557739,-0.505,0.505,-1,"1",0.01,0.01,"1",0.01,0.01,0.01,1
"51","Law_unpub",2,"1",1.09702396392822,1,1,1,"-1",0.505,-0.505,"-1",0.01,0.67,-0.01,1
"52","Law_unpub",2,"0",0.503247976303101,-1,1,-1,"1",1,1,"1",0.67,0.67,0.67,1
"53","Law_unpub",2,"1",0.594732046127319,0.505,0.505,1,"-1",1,-1,"-1",0.67,1,-0.67,1
"54","Law_unpub",2,"0",0.204953193664551,0.2575,0.2575,1,"1",0.505,0.505,"1",1,1,1,0
"55","Law_unpub",2,"0",1.14917206764221,-1,1,-1,"1",0.2575,0.2575,"-1",1,0.01,-1,1
"56","Law_unpub",2,"0",1.37185311317444,-0.505,0.505,-1,"-1",1,-1,"-1",0.01,0.34,-0.01,1
"57","Law_unpub",2,"0",0.54728889465332,-0.01,0.01,-1,"-1",0.505,-0.505,"-1",0.34,0.67,-0.34,1
"58","Law_unpub",2,"0",0.525122880935669,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",0.67,0.01,-0.67,1
"59","Law_unpub",2,"0",0.444831132888794,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"60","Law_unpub",2,"1",1.51327586174011,1,1,1,"-1",0.505,-0.505,"-1",0.01,0.01,-0.01,1
"61","Law_unpub",2,"0",0.790828943252563,0.505,0.505,1,"1",1,1,"1",0.01,0.34,0.01,0
"62","Law_unpub",2,"1",0.974652051925659,1,1,1,"1",0.505,0.505,"-1",0.34,0.67,-0.34,1
"63","Law_unpub",2,"0",0.425901174545288,1,1,1,"1",1,1,"1",0.67,0.67,0.67,0
"64","Law_unpub",2,"0",0.345749855041504,-0.505,0.505,-1,"1",1,1,"-1",0.67,0.67,-0.67,1
"65","Law_unpub",2,"0",0.685990810394287,0.01,0.01,1,"-1",0.505,-0.505,"-1",0.67,0.01,-0.67,0
"66","Law_unpub",2,"0",0.669999122619629,0.01,0.01,1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,0
"67","Law_unpub",2,"0",1.42785787582397,-0.505,0.505,-1,"1",0.01,0.01,"-1",0.01,0.34,-0.01,1
"68","Law_unpub",2,"0",0.532784938812256,0.2575,0.2575,1,"-1",0.505,-0.505,"-1",0.34,0.01,-0.34,0
"69","Law_unpub",2,"1",0.853525876998901,-0.01,0.01,-1,"1",0.2575,0.2575,"-1",0.01,0.01,-0.01,0
"70","Law_unpub",2,"0",0.294840097427368,0.505,0.505,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
