"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Recht_unpub",1,"1",0.711165905,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"2","Recht_unpub",1,"0",1.811744928,-0.01,0.01,-1,"1",1,1,"1",1,0.01,1,1
"3","Recht_unpub",1,"0",1.511562109,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"4","Recht_unpub",1,"1",1.681725979,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,0
"5","Recht_unpub",1,"1",0.871564865,-0.01,0.01,-1,"-1",0.01,-0.01,"1",1,1,1,0
"6","Recht_unpub",1,"1",0.651184082,0.01,0.01,1,"-1",0.01,-0.01,"1",1,1,1,1
"7","Recht_unpub",1,"1",0.931509018,-1,1,-1,"1",0.01,0.01,"1",1,1,1,0
"8","Recht_unpub",1,"0",1.831520081,1,1,1,"-1",1,-1,"1",1,0.01,1,0
"9","Recht_unpub",1,"0",0.78134203,-0.01,0.01,-1,"1",1,1,"-1",0.01,1,-0.01,1
"10","Recht_unpub",1,"1",0.751394987,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"11","Recht_unpub",1,"1",0.561089993,1,1,1,"-1",0.01,-0.01,"1",0.01,1,0.01,1
"12","Recht_unpub",1,"1",4.71297884,1,1,1,"1",1,1,"1",1,0.01,1,1
"13","Recht_unpub",1,"0",1.74171114,-0.01,0.01,-1,"1",1,1,"1",0.01,0.01,0.01,1
"14","Recht_unpub",1,"0",0.781116009,-1,1,-1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"15","Recht_unpub",1,"1",0.801377058,0.01,0.01,1,"-1",1,-1,"-1",1,1,-1,1
"16","Recht_unpub",1,"0",1.181258917,0.01,0.01,1,"1",0.01,0.01,"1",1,0.01,1,0
"17","Recht_unpub",1,"1",0.941357136,0.01,0.01,1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"18","Recht_unpub",1,"1",2.641939163,1,1,1,"1",0.01,0.01,"1",1,0.01,1,1
"19","Recht_unpub",1,"0",1.221561909,0.01,0.01,1,"1",1,1,"1",0.01,0.01,0.01,0
"20","Recht_unpub",1,"1",0.691439867,1,1,1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"21","Recht_unpub",1,"1",0.631677151,0.01,0.01,1,"1",1,1,"1",1,1,1,1
"22","Recht_unpub",1,"0",0.731348991,-1,1,-1,"1",0.01,0.01,"1",1,1,1,1
"23","Recht_unpub",1,"1",1.091357231,1,1,1,"-1",1,-1,"-1",1,0.01,-1,1
"24","Recht_unpub",1,"0",2.011750937,0.01,0.01,1,"1",1,1,"1",0.01,0.01,0.01,0
"25","Recht_unpub",1,"0",1.301609039,-1,1,-1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"26","Recht_unpub",1,"0",1.951717138,-1,1,-1,"-1",1,-1,"-1",1,0.01,-1,1
"27","Recht_unpub",1,"0",1.131392956,-0.01,0.01,-1,"-1",1,-1,"-1",0.01,1,-0.01,1
"28","Recht_unpub",1,"0",0.931239128,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,1,-1,0
"29","Recht_unpub",1,"0",0.761302948,-0.01,0.01,-1,"1",0.01,0.01,"-1",1,1,-1,1
"30","Recht_unpub",1,"1",0.601432085,1,1,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"31","Recht_unpub",1,"1",0.720616102,0.01,0.01,1,"1",1,1,"1",1,1,1,1
"32","Recht_unpub",1,"0",0.82130003,-1,1,-1,"1",0.01,0.01,"1",1,1,1,1
"33","Recht_unpub",1,"1",1.201617003,0.01,0.01,1,"-1",1,-1,"-1",1,0.01,-1,1
"34","Recht_unpub",1,"1",0.651461124,-1,1,-1,"1",0.01,0.01,"1",0.01,0.01,0.01,0
"35","Recht_unpub",1,"0",1.291306973,-1,1,-1,"-1",1,-1,"1",0.01,1,0.01,1
"36","Recht_unpub",1,"1",0.941309929,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"37","Recht_unpub",1,"0",0.801310062,-0.01,0.01,-1,"1",1,1,"1",1,0.01,1,1
"38","Recht_unpub",1,"0",0.941398859,-1,1,-1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"39","Recht_unpub",1,"1",2.712158918,1,1,1,"-1",1,-1,"-1",1,0.01,-1,1
"40","Recht_unpub",1,"1",0.921409845,0.01,0.01,1,"1",1,1,"1",0.01,1,0.01,1
"41","Recht_unpub",1,"1",0.721333981,1,1,1,"1",0.01,0.01,"1",1,1,1,1
"42","Recht_unpub",1,"0",1.051364899,-1,1,-1,"1",1,1,"1",1,0.01,1,1
"43","Recht_unpub",1,"1",0.651078939,-1,1,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"44","Recht_unpub",1,"0",0.881251812,-0.01,0.01,-1,"-1",1,-1,"1",0.01,1,0.01,1
"45","Recht_unpub",1,"0",2.601961136,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"46","Recht_unpub",1,"0",0.791049957,-0.01,0.01,-1,"1",1,1,"-1",0.01,1,-0.01,1
"47","Recht_unpub",1,"0",1.100487948,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"48","Recht_unpub",1,"1",2.612226009,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"49","Recht_unpub",1,"0",0.701271057,-1,1,-1,"1",1,1,"1",0.01,1,0.01,1
