"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Wang_2018",3,"1",1.1916,0.34,0.34,1,"-1",1,-1,"-1",1,0.505,-1,1
"2","Wang_2018",3,"1",0.70196,1e-05,0.01,0.001,"1",0.34,0.34,"1",0.505,0.505,0.505,0
"3","Wang_2018",3,"0",0.69813,1e-05,0.01,0.001,"0.001",0.01,1e-05,"1",0.505,1,0.505,0
"4","Wang_2018",3,"1",0.94861,0.67,0.67,1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"5","Wang_2018",3,"1",0.92872,-0.34,0.34,-1,"1",0.67,0.67,"1",0.505,0.505,0.505,0
"6","Wang_2018",3,"0",0.69245,1e-05,0.01,0.001,"-1",0.34,-0.34,"1",0.505,1,0.505,0
"7","Wang_2018",3,"0",0.80606,-0.34,0.34,-1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"8","Wang_2018",3,"0",0.38091,-0.34,0.34,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"9","Wang_2018",3,"1",0.649,0.67,0.67,1,"-1",0.34,-0.34,"-1",1,1,-1,1
"10","Wang_2018",3,"1",0.60112,1,1,1,"1",0.67,0.67,"1",1,1,1,1
"11","Wang_2018",3,"0",0.30776,-1,1,-1,"1",1,1,"1",1,0.505,1,1
"12","Wang_2018",3,"1",0.71729,0.34,0.34,1,"-1",1,-1,"-1",0.505,0.01,-0.505,1
"13","Wang_2018",3,"1",0.95323,1,1,1,"1",0.34,0.34,"1",0.01,1,0.01,1
"14","Wang_2018",3,"0",0.46417,-0.67,0.67,-1,"1",1,1,"1",1,1,1,1
"15","Wang_2018",3,"1",0.46171,0.34,0.34,1,"-1",0.67,-0.67,"-1",1,0.505,-1,1
"16","Wang_2018",3,"1",1.187,1e-05,0.01,0.001,"1",0.34,0.34,"1",0.505,1,0.505,0
"17","Wang_2018",3,"0",0.32171,-1,1,-1,"0.001",0.01,1e-05,"1",1,1,1,1
"18","Wang_2018",3,"0",1.5605,1e-05,0.01,0.001,"-1",1,-1,"-1",1,0.505,-1,0
"19","Wang_2018",3,"0",0.64949,-1,1,-1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,1
"20","Wang_2018",3,"0",0.46029,-0.34,0.34,-1,"-1",1,-1,"-1",1,1,-1,1
"21","Wang_2018",3,"1",1.0579,-0.34,0.34,-1,"-1",0.34,-0.34,"-1",1,0.505,-1,0
"22","Wang_2018",3,"1",0.98057,1,1,1,"-1",0.34,-0.34,"1",0.505,1,0.505,1
"23","Wang_2018",3,"0",0.74818,0.34,0.34,1,"1",1,1,"1",1,0.505,1,0
"24","Wang_2018",3,"0",0.61222,-1,1,-1,"1",0.34,0.34,"-1",0.505,0.505,-0.505,1
"25","Wang_2018",3,"1",0.23612,1,1,1,"-1",1,-1,"-1",0.505,1,-0.505,1
"26","Wang_2018",3,"0",0.60031,-0.67,0.67,-1,"1",1,1,"1",1,1,1,1
"27","Wang_2018",3,"0",0.44828,1e-05,0.01,0.001,"-1",0.67,-0.67,"-1",1,1,-1,0
"28","Wang_2018",3,"0",1.3669,-0.34,0.34,-1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"29","Wang_2018",3,"1",0.25344,1,1,1,"-1",0.34,-0.34,"-1",0.505,1,-0.505,1
"30","Wang_2018",3,"0",0.50039,1e-05,0.01,0.001,"1",1,1,"1",1,1,1,0
"31","Wang_2018",3,"1",0.38195,-0.34,0.34,-1,"0.001",0.01,1e-05,"-1",1,0.01,-1,0
"32","Wang_2018",3,"0",0.68172,-1,1,-1,"-1",0.34,-0.34,"1",0.01,1,0.01,1
"33","Wang_2018",3,"0",1.0407,0.34,0.34,1,"-1",1,-1,"-1",1,1,-1,0
"34","Wang_2018",3,"1",0.75505,0.67,0.67,1,"1",0.34,0.34,"-1",1,1,-1,1
"35","Wang_2018",3,"1",0.74184,0.34,0.34,1,"1",0.67,0.67,"1",1,1,1,1
"36","Wang_2018",3,"0",0.85761,-0.67,0.67,-1,"1",0.34,0.34,"1",1,0.505,1,1
"37","Wang_2018",3,"0",0.96547,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",0.505,1,-0.505,1
"38","Wang_2018",3,"1",0.68423,1,1,1,"-1",0.34,-0.34,"-1",1,1,-1,1
"39","Wang_2018",3,"0",1.1001,1e-05,0.01,0.001,"1",1,1,"1",1,0.505,1,0
"40","Wang_2018",3,"1",0.76955,0.67,0.67,1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,1
"41","Wang_2018",3,"1",1.135,1e-05,0.01,0.001,"1",0.67,0.67,"1",1,0.505,1,0
"42","Wang_2018",3,"1",0.68035,1,1,1,"0.001",0.01,1e-05,"1",0.505,0.505,0.505,1
"43","Wang_2018",3,"0",0.85347,-0.34,0.34,-1,"1",1,1,"1",0.505,1,0.505,1
"44","Wang_2018",3,"0",0.68941,-0.67,0.67,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"45","Wang_2018",3,"1",0.5607,0.67,0.67,1,"-1",0.67,-0.67,"-1",1,1,-1,1
"46","Wang_2018",3,"0",0.55228,0.67,0.67,1,"1",0.67,0.67,"1",1,0.505,1,0
"47","Wang_2018",3,"0",1.5895,0.34,0.34,1,"1",0.67,0.67,"-1",0.505,0.505,-0.505,0
"48","Wang_2018",3,"0",0.26676,-0.34,0.34,-1,"1",0.34,0.34,"-1",0.505,1,-0.505,1
"49","Wang_2018",3,"0",0.35748,0.34,0.34,1,"-1",0.34,-0.34,"-1",1,1,-1,0
"50","Wang_2018",3,"0",0.78174,0.67,0.67,1,"1",0.34,0.34,"-1",1,1,-1,0
"51","Wang_2018",3,"0",0.8056,-0.67,0.67,-1,"1",0.67,0.67,"-1",1,0.505,-1,1
"52","Wang_2018",3,"0",0.57228,-0.67,0.67,-1,"-1",0.67,-0.67,"-1",0.505,1,-0.505,1
"53","Wang_2018",3,"1",1.0163,1e-05,0.01,0.001,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"54","Wang_2018",3,"1",0.3786,1,1,1,"0.001",0.01,1e-05,"1",0.505,1,0.505,1
"55","Wang_2018",3,"0",0.53589,-0.34,0.34,-1,"1",1,1,"1",1,1,1,1
"56","Wang_2018",3,"1",0.27359,0.67,0.67,1,"-1",0.34,-0.34,"-1",1,1,-1,1
"57","Wang_2018",3,"0",0.98568,-1,1,-1,"1",0.67,0.67,"1",1,1,1,1
"58","Wang_2018",3,"0",1.3459,-0.67,0.67,-1,"-1",1,-1,"-1",1,0.505,-1,1
"59","Wang_2018",3,"0",0.32041,1e-05,0.01,0.001,"-1",0.67,-0.67,"-1",0.505,1,-0.505,0
"60","Wang_2018",3,"0",0.29402,-1,1,-1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"61","Wang_2018",3,"1",0.36871,1,1,1,"-1",1,-1,"-1",0.505,1,-0.505,1
"62","Wang_2018",3,"0",0.74357,1e-05,0.01,0.001,"1",1,1,"1",1,1,1,0
"63","Wang_2018",3,"0",0.91426,-1,1,-1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"64","Wang_2018",3,"0",0.93054,-0.67,0.67,-1,"-1",1,-1,"-1",1,1,-1,1
"65","Wang_2018",3,"1",0.28658,0.67,0.67,1,"-1",0.67,-0.67,"-1",1,1,-1,1
"66","Wang_2018",3,"0",0.436,0.67,0.67,1,"1",0.67,0.67,"1",1,0.505,1,0
"67","Wang_2018",3,"0",0.41476,-1,1,-1,"1",0.67,0.67,"-1",0.505,1,-0.505,1
"68","Wang_2018",3,"0",0.21222,0.34,0.34,1,"-1",1,-1,"-1",1,1,-1,0
"69","Wang_2018",3,"1",0.36194,-0.34,0.34,-1,"1",0.34,0.34,"-1",1,1,-1,0
"70","Wang_2018",3,"1",1.0421,1,1,1,"-1",0.34,-0.34,"1",1,0.505,1,1
"71","Wang_2018",3,"0",0.6953,0.34,0.34,1,"1",1,1,"1",0.505,1,0.505,0
"72","Wang_2018",3,"1",0.31677,0.67,0.67,1,"1",0.34,0.34,"-1",1,1,-1,1
"73","Wang_2018",3,"0",0.37289,-1,1,-1,"1",0.67,0.67,"1",1,1,1,1
"74","Wang_2018",3,"1",1.0932,-0.67,0.67,-1,"-1",1,-1,"-1",1,0.505,-1,0
"75","Wang_2018",3,"0",0.46913,-0.67,0.67,-1,"-1",0.67,-0.67,"1",0.505,1,0.505,1
"76","Wang_2018",3,"0",0.41194,-0.67,0.67,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"77","Wang_2018",3,"1",0.56823,-0.67,0.67,-1,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"78","Wang_2018",3,"1",0.65106,0.67,0.67,1,"-1",0.67,-0.67,"1",0.505,1,0.505,1
"79","Wang_2018",3,"1",0.69384,1,1,1,"1",0.67,0.67,"1",1,1,1,1
"80","Wang_2018",3,"0",0.28042,-1,1,-1,"1",1,1,"1",1,1,1,1
"81","Wang_2018",3,"1",0.7995,0.34,0.34,1,"-1",1,-1,"-1",1,0.505,-1,1
"82","Wang_2018",3,"1",0.38216,0.34,0.34,1,"1",0.34,0.34,"1",0.505,1,0.505,1
"83","Wang_2018",3,"1",0.58219,1,1,1,"1",0.34,0.34,"1",1,0.505,1,1
"84","Wang_2018",3,"0",1.0942,0.67,0.67,1,"1",1,1,"1",0.505,0.505,0.505,0
"85","Wang_2018",3,"1",1.0397,0.34,0.34,1,"1",0.67,0.67,"-1",0.505,1,-0.505,1
"86","Wang_2018",3,"1",0.52993,-1,1,-1,"1",0.34,0.34,"1",1,0.01,1,0
"87","Wang_2018",3,"1",0.35251,0.67,0.67,1,"-1",1,-1,"1",0.01,1,0.01,1
"88","Wang_2018",3,"0",0.28598,-0.67,0.67,-1,"1",0.67,0.67,"1",1,1,1,1
"89","Wang_2018",3,"1",0.41677,1,1,1,"-1",0.67,-0.67,"-1",1,1,-1,1
"90","Wang_2018",3,"0",0.83697,-0.67,0.67,-1,"1",1,1,"1",1,1,1,1
"91","Wang_2018",3,"0",0.57965,-1,1,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"92","Wang_2018",3,"0",0.76508,-1,1,-1,"-1",1,-1,"-1",1,0.505,-1,1
"93","Wang_2018",3,"1",0.23874,0.67,0.67,1,"-1",1,-1,"-1",0.505,1,-0.505,1
"94","Wang_2018",3,"1",0.83617,1,1,1,"1",0.67,0.67,"1",1,1,1,1
"95","Wang_2018",3,"1",0.55074,0.67,0.67,1,"1",1,1,"1",1,1,1,1
"96","Wang_2018",3,"0",0.26958,-0.67,0.67,-1,"1",0.67,0.67,"1",1,0.505,1,1
"97","Wang_2018",3,"0",0.4151,0.34,0.34,1,"-1",0.67,-0.67,"-1",0.505,0.505,-0.505,0
"98","Wang_2018",3,"1",0.66181,1e-05,0.01,0.001,"1",0.34,0.34,"-1",0.505,1,-0.505,0
"99","Wang_2018",3,"0",0.43536,-0.34,0.34,-1,"0.001",0.01,1e-05,"1",1,1,1,1
"100","Wang_2018",3,"0",0.37696,-1,1,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"101","Wang_2018",3,"0",0.56505,1e-05,0.01,0.001,"-1",1,-1,"-1",1,1,-1,0
"102","Wang_2018",3,"1",0.5507,-0.34,0.34,-1,"0.001",0.01,1e-05,"-1",1,0.505,-1,0
"103","Wang_2018",3,"0",0.23382,-0.34,0.34,-1,"-1",0.34,-0.34,"1",0.505,0.505,0.505,1
"104","Wang_2018",3,"0",0.86981,0.34,0.34,1,"-1",0.34,-0.34,"-1",0.505,1,-0.505,0
"105","Wang_2018",3,"1",0.51018,-0.67,0.67,-1,"1",0.34,0.34,"-1",1,1,-1,0
"106","Wang_2018",3,"0",0.011539,-0.67,0.67,-1,"-1",0.67,-0.67,"1",1,1,1,1
"107","Wang_2018",3,"0",0.55038,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"108","Wang_2018",3,"1",0.25444,1e-05,0.01,0.001,"-1",0.34,-0.34,"-1",1,1,-1,0
"109","Wang_2018",3,"1",0.55193,0.34,0.34,1,"0.001",0.01,1e-05,"1",1,1,1,1
"110","Wang_2018",3,"0",0.26262,-0.34,0.34,-1,"1",0.34,0.34,"1",1,0.505,1,1
"111","Wang_2018",3,"1",0.47464,0.67,0.67,1,"-1",0.34,-0.34,"-1",0.505,1,-0.505,1
"112","Wang_2018",3,"1",0.32661,1,1,1,"1",0.67,0.67,"1",1,1,1,1
"113","Wang_2018",3,"0",0.41228,0.67,0.67,1,"1",1,1,"1",1,0.505,1,0
"114","Wang_2018",3,"1",1.1257,1,1,1,"1",0.67,0.67,"-1",0.505,1,-0.505,1
"115","Wang_2018",3,"1",0.46956,0.67,0.67,1,"1",1,1,"1",1,1,1,1
"116","Wang_2018",3,"0",0.53216,1e-05,0.01,0.001,"1",0.67,0.67,"1",1,1,1,0
"117","Wang_2018",3,"1",0.311,0.34,0.34,1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"118","Wang_2018",3,"0",0.90568,0.67,0.67,1,"1",0.34,0.34,"1",1,0.505,1,0
"119","Wang_2018",3,"0",0.7631,-1,1,-1,"1",0.67,0.67,"-1",0.505,1,-0.505,1
"120","Wang_2018",3,"1",0.73798,1,1,1,"-1",1,-1,"-1",1,1,-1,1
