"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Yeon_unpub_Exp2",1,"1",0.289227377000088,0.043,0.043,1,"-1",0.043,-0.043,"-1",1,1,-1,1
"2","Yeon_unpub_Exp2",1,"1",0.761150717000191,0.01,0.01,1,"1",0.043,0.043,"1",1,0.67,1,1
"3","Yeon_unpub_Exp2",1,"1",0.466692207000051,-0.01,0.01,-1,"1",0.01,0.01,"1",0.67,0.67,0.67,0
"4","Yeon_unpub_Exp2",1,"0",0.260682610999993,-0.043,0.043,-1,"-1",0.01,-0.01,"1",0.67,1,0.67,1
"5","Yeon_unpub_Exp2",1,"1",0.28538368999989,0.043,0.043,1,"-1",0.043,-0.043,"-1",1,1,-1,1
"6","Yeon_unpub_Exp2",1,"1",0.253559484000107,0.0265,0.0265,1,"1",0.043,0.043,"1",1,1,1,1
"7","Yeon_unpub_Exp2",1,"1",0.247131705000129,0.0265,0.0265,1,"1",0.0265,0.0265,"1",1,1,1,1
"8","Yeon_unpub_Exp2",1,"0",0.496245812000097,-0.01,0.01,-1,"1",0.0265,0.0265,"1",1,0.67,1,1
"9","Yeon_unpub_Exp2",1,"1",0.277624026000012,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",0.67,1,-0.67,0
"10","Yeon_unpub_Exp2",1,"1",0.265653724000003,0.0265,0.0265,1,"-1",0.01,-0.01,"1",1,1,1,1
"11","Yeon_unpub_Exp2",1,"1",0.559064802999956,-0.0265,0.0265,-1,"1",0.0265,0.0265,"1",1,0.67,1,0
"12","Yeon_unpub_Exp2",1,"1",0.29353917200001,-0.043,0.043,-1,"-1",0.0265,-0.0265,"1",0.67,1,0.67,0
"13","Yeon_unpub_Exp2",1,"0",0.283022004999793,-0.0595,0.0595,-1,"-1",0.043,-0.043,"1",1,1,1,1
"14","Yeon_unpub_Exp2",1,"0",0.579363399000158,0.0595,0.0595,1,"-1",0.0595,-0.0595,"-1",1,0.67,-1,0
"15","Yeon_unpub_Exp2",1,"1",0.28918256299994,0.076,0.076,1,"1",0.0595,0.0595,"-1",0.67,1,-0.67,1
"16","Yeon_unpub_Exp2",1,"0",0.251511519000132,-0.076,0.076,-1,"1",0.076,0.076,"1",1,1,1,1
"17","Yeon_unpub_Exp2",1,"0",0.249351165999997,-0.0595,0.0595,-1,"-1",0.076,-0.076,"-1",1,1,-1,1
"18","Yeon_unpub_Exp2",1,"0",0.302993229000094,-0.0595,0.0595,-1,"-1",0.0595,-0.0595,"-1",1,1,-1,1
"19","Yeon_unpub_Exp2",1,"0",0.254687200000035,-0.043,0.043,-1,"-1",0.0595,-0.0595,"-1",1,1,-1,1
"20","Yeon_unpub_Exp2",1,"0",0.405621074999999,-0.043,0.043,-1,"-1",0.043,-0.043,"-1",1,1,-1,1
"21","Yeon_unpub_Exp2",1,"1",0.361515315000133,-0.0265,0.0265,-1,"-1",0.043,-0.043,"-1",1,0.67,-1,0
"22","Yeon_unpub_Exp2",1,"0",1.39340222099986,0.043,0.043,1,"-1",0.0265,-0.0265,"1",0.67,0.67,0.67,0
"23","Yeon_unpub_Exp2",1,"0",0.288740318999999,-0.0595,0.0595,-1,"1",0.043,0.043,"-1",0.67,0.67,-0.67,1
"24","Yeon_unpub_Exp2",1,"1",0.256524956000021,0.0595,0.0595,1,"-1",0.0595,-0.0595,"-1",0.67,0.67,-0.67,1
"25","Yeon_unpub_Exp2",1,"1",0.4234702440001,0.043,0.043,1,"1",0.0595,0.0595,"1",0.67,0.67,0.67,1
"26","Yeon_unpub_Exp2",1,"1",0.427486485999907,0.043,0.043,1,"1",0.043,0.043,"1",0.67,0.67,0.67,1
"27","Yeon_unpub_Exp2",1,"1",0.500459374000002,0.0265,0.0265,1,"1",0.043,0.043,"1",0.67,0.67,0.67,1
"28","Yeon_unpub_Exp2",1,"0",0.913614556000084,0.0265,0.0265,1,"1",0.0265,0.0265,"1",0.67,0.34,0.67,0
"29","Yeon_unpub_Exp2",1,"0",1.06412177200014,0.043,0.043,1,"1",0.0265,0.0265,"-1",0.34,0.01,-0.34,0
"30","Yeon_unpub_Exp2",1,"1",0.585098361000064,0.0595,0.0595,1,"1",0.043,0.043,"-1",0.01,0.34,-0.01,1
"31","Yeon_unpub_Exp2",1,"0",0.35799004799992,-0.0595,0.0595,-1,"1",0.0595,0.0595,"1",0.34,1,0.34,1
"32","Yeon_unpub_Exp2",1,"1",1.14393829300002,-0.043,0.043,-1,"-1",0.0595,-0.0595,"-1",1,1,-1,0
"33","Yeon_unpub_Exp2",1,"1",1.44614954100007,0.0595,0.0595,1,"-1",0.043,-0.043,"1",1,0.01,1,1
"34","Yeon_unpub_Exp2",1,"0",0.319262383000023,0.0595,0.0595,1,"1",0.0595,0.0595,"1",0.01,1,0.01,0
"35","Yeon_unpub_Exp2",1,"0",0.505649031000075,-0.076,0.076,-1,"1",0.0595,0.0595,"-1",1,1,-1,1
"36","Yeon_unpub_Exp2",1,"0",0.273301189999984,-0.076,0.076,-1,"-1",0.076,-0.076,"-1",1,1,-1,1
"37","Yeon_unpub_Exp2",1,"0",0.207814118999977,-0.0595,0.0595,-1,"-1",0.076,-0.076,"-1",1,1,-1,1
"38","Yeon_unpub_Exp2",1,"1",0.215996207999979,0.0595,0.0595,1,"-1",0.0595,-0.0595,"-1",1,1,-1,1
"39","Yeon_unpub_Exp2",1,"0",0.226873184999931,-0.043,0.043,-1,"1",0.0595,0.0595,"1",1,1,1,1
"40","Yeon_unpub_Exp2",1,"1",0.214281902000039,0.043,0.043,1,"-1",0.043,-0.043,"-1",1,1,-1,1
"41","Yeon_unpub_Exp2",1,"0",0.228054116000067,-0.0265,0.0265,-1,"1",0.043,0.043,"1",1,1,1,1
"42","Yeon_unpub_Exp2",1,"1",0.25147727500007,0.0265,0.0265,1,"-1",0.0265,-0.0265,"-1",1,1,-1,1
"43","Yeon_unpub_Exp2",1,"0",0.256758966000007,-0.01,0.01,-1,"1",0.0265,0.0265,"1",1,1,1,1
"44","Yeon_unpub_Exp2",1,"1",0.26787539399993,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"45","Yeon_unpub_Exp2",1,"0",0.269175544000063,0.01,0.01,1,"1",0.01,0.01,"1",1,1,1,0
"46","Yeon_unpub_Exp2",1,"1",0.259936718000063,-0.0265,0.0265,-1,"1",0.01,0.01,"-1",1,1,-1,0
"47","Yeon_unpub_Exp2",1,"0",0.329773423999995,0.043,0.043,1,"-1",0.0265,-0.0265,"1",1,1,1,0
"48","Yeon_unpub_Exp2",1,"1",0.255178562000083,-0.0595,0.0595,-1,"1",0.043,0.043,"-1",1,1,-1,0
"49","Yeon_unpub_Exp2",1,"1",0.25363881699991,0.076,0.076,1,"-1",0.0595,-0.0595,"1",1,1,1,1
"50","Yeon_unpub_Exp2",1,"0",0.938550835999877,-0.0595,0.0595,-1,"1",0.076,0.076,"1",1,0.01,1,1
"51","Yeon_unpub_Exp2",1,"0",0.612641965999956,-0.0595,0.0595,-1,"-1",0.0595,-0.0595,"-1",0.01,0.01,-0.01,1
"52","Yeon_unpub_Exp2",1,"0",1.2682414379999,-0.0265,0.0265,-1,"-1",0.0595,-0.0595,"-1",0.01,0.01,-0.01,1
"53","Yeon_unpub_Exp2",1,"1",0.598537555000121,-0.0265,0.0265,-1,"-1",0.0265,-0.0265,"-1",0.01,0.01,-0.01,0
"54","Yeon_unpub_Exp2",1,"0",0.657289265000145,-0.0595,0.0595,-1,"-1",0.0265,-0.0265,"1",0.01,0.34,0.01,1
"55","Yeon_unpub_Exp2",1,"0",0.694913869000175,-0.0595,0.0595,-1,"-1",0.0595,-0.0595,"-1",0.34,0.34,-0.34,1
"56","Yeon_unpub_Exp2",1,"1",0.458401362000131,0.043,0.043,1,"-1",0.0595,-0.0595,"-1",0.34,0.34,-0.34,1
"57","Yeon_unpub_Exp2",1,"0",1.38870847900012,-0.043,0.043,-1,"1",0.043,0.043,"1",0.34,0.67,0.34,1
"58","Yeon_unpub_Exp2",1,"0",0.471427608000113,0.0265,0.0265,1,"-1",0.043,-0.043,"-1",0.67,0.34,-0.67,0
"59","Yeon_unpub_Exp2",1,"1",0.533453141000109,-0.043,0.043,-1,"1",0.0265,0.0265,"-1",0.34,0.34,-0.34,0
"60","Yeon_unpub_Exp2",1,"1",0.860836817000063,0.0595,0.0595,1,"-1",0.043,-0.043,"1",0.34,0.67,0.34,1
"61","Yeon_unpub_Exp2",1,"0",0.550946381000358,-0.0595,0.0595,-1,"1",0.0595,0.0595,"1",0.67,0.67,0.67,1
"62","Yeon_unpub_Exp2",1,"0",0.31669415999977,0.043,0.043,1,"-1",0.0595,-0.0595,"-1",0.67,0.67,-0.67,0
"63","Yeon_unpub_Exp2",1,"0",0.651260659999934,-0.0595,0.0595,-1,"1",0.043,0.043,"-1",0.67,0.67,-0.67,1
"64","Yeon_unpub_Exp2",1,"0",1.52653634000035,0.0595,0.0595,1,"-1",0.0595,-0.0595,"-1",0.67,0.34,-0.67,0
