Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Adler_2018_Expt1_taskB,1,0,1.41200554978423,0.029962371106714,0.029962371106714,1,1,0.133521838991045,0.133521838991045,1,0.34,0.01,0.34,0,0.90605384
2,Adler_2018_Expt1_taskB,1,1,1.31720440108256,-0.0161316381713268,0.0161316381713268,-1,1,0.029962371106714,0.029962371106714,-1,0.01,0.01,-0.01,0,0.92844164
3,Adler_2018_Expt1_taskB,1,1,1.55188010871279,0.354434204039698,0.354434204039698,1,-1,0.0161316381713268,-0.0161316381713268,1,0.01,0.34,0.01,1,0.9368357
4,Adler_2018_Expt1_taskB,1,1,0.779431923074299,0.0131867808230599,0.0131867808230599,1,1,0.354434204039698,0.354434204039698,1,0.34,0.01,0.34,1,0.9445712
5,Adler_2018_Expt1_taskB,1,0,1.24131370595569,0.0749293392930861,0.0749293392930861,1,1,0.0131867808230599,0.0131867808230599,1,0.01,0.01,0.01,0,0.9387485
6,Adler_2018_Expt1_taskB,1,1,0.822730774438241,-0.0216715100215506,0.0216715100215506,-1,1,0.0749293392930861,0.0749293392930861,-1,0.01,0.01,-0.01,0,0.9680624
7,Adler_2018_Expt1_taskB,1,1,0.969998954446055,0.0173858273121792,0.0173858273121792,1,-1,0.0216715100215506,-0.0216715100215506,1,0.01,0.01,0.01,1,0.98393166
8,Adler_2018_Expt1_taskB,1,1,1.00669444553205,-0.0520826264620374,0.0520826264620374,-1,1,0.0173858273121792,0.0173858273121792,1,0.01,0.01,0.01,0,0.98852235
9,Adler_2018_Expt1_taskB,1,1,1.87780496080813,-0.0506081935468991,0.0506081935468991,-1,-1,0.0520826264620374,-0.0520826264620374,1,0.01,0.01,0.01,0,0.9807285
10,Adler_2018_Expt1_taskB,1,1,0.869473225742695,0.125766513827001,0.125766513827001,1,-1,0.0506081935468991,-0.0506081935468991,1,0.01,0.01,0.01,1,0.9600363
11,Adler_2018_Expt1_taskB,1,0,1.41908229681212,0.0393847608207765,0.0393847608207765,1,1,0.125766513827001,0.125766513827001,1,0.01,0.01,0.01,0,0.9319716
12,Adler_2018_Expt1_taskB,1,1,0.840786181212025,0.195071763498532,0.195071763498532,1,1,0.0393847608207765,0.0393847608207765,-1,0.01,0.01,-0.01,1,0.9403555
13,Adler_2018_Expt1_taskB,1,1,0.872140997409588,0.0793118345995031,0.0793118345995031,1,1,0.195071763498532,0.195071763498532,1,0.01,0.01,0.01,1,0.9402162
14,Adler_2018_Expt1_taskB,1,1,1.03820962309328,0.32108040261724,0.32108040261724,1,1,0.0793118345995031,0.0793118345995031,1,0.01,0.34,0.01,1,0.9309887
15,Adler_2018_Expt1_taskB,1,0,0.960797098614421,-0.0394161465388889,0.0394161465388889,-1,1,0.32108040261724,0.32108040261724,1,0.34,0.01,0.34,1,0.92000085
16,Adler_2018_Expt1_taskB,1,1,1.26418187801028,-0.0482275060866966,0.0482275060866966,-1,-1,0.0394161465388889,-0.0394161465388889,-1,0.01,0.01,-0.01,0,0.93633586
17,Adler_2018_Expt1_taskB,1,1,0.680159578801977,-0.0113349912696439,0.0113349912696439,-1,-1,0.0482275060866966,-0.0482275060866966,1,0.01,0.01,0.01,0,0.9353871
18,Adler_2018_Expt1_taskB,1,0,0.888222355784819,0.304109455978448,0.304109455978448,1,-1,0.0113349912696439,-0.0113349912696439,1,0.01,0.01,0.01,0,0.9250085
19,Adler_2018_Expt1_taskB,1,1,0.821556608523679,0.0147706462986091,0.0147706462986091,1,1,0.304109455978448,0.304109455978448,-1,0.01,0.01,-0.01,1,0.9557779
