Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Denison_2018,1,0,1.75486641703174,0.08335645063043,0.08335645063043,1,-1,0.0146850343368273,-0.0146850343368273,-1,0.01,0.34,-0.01,0,-0.5844503
2,Denison_2018,1,1,1.23247608914971,0.186011766078068,0.186011766078068,1,1,0.08335645063043,0.08335645063043,-1,0.34,0.34,-0.34,1,-0.40247816
3,Denison_2018,1,1,1.3253711219877,0.239558945335442,0.239558945335442,1,1,0.186011766078068,0.186011766078068,1,0.34,0.67,0.34,1,-0.35258698
4,Denison_2018,1,0,1.16519037797116,-0.0412619507142659,0.0412619507142659,-1,1,0.239558945335442,0.239558945335442,1,0.67,0.34,0.67,1,-0.39049757
5,Denison_2018,1,0,1.7888047019951,-0.0224689854511657,0.0224689854511657,-1,-1,0.0412619507142659,-0.0412619507142659,-1,0.34,0.01,-0.34,1,-0.40020192
6,Denison_2018,1,0,2.93754165992141,0.0120754256912355,0.0120754256912355,1,-1,0.0224689854511657,-0.0224689854511657,-1,0.01,0.67,-0.01,0,-0.4121515
7,Denison_2018,1,0,1.77971560601145,-0.0101019643805574,0.0101019643805574,-1,1,0.0120754256912355,0.0120754256912355,-1,0.67,0.34,-0.67,1,-0.40529928
8,Denison_2018,1,0,0.680827407166362,0.101102109744034,0.101102109744034,1,-1,0.0101019643805574,-0.0101019643805574,-1,0.34,0.34,-0.34,0,-0.3934873
9,Denison_2018,1,1,0.754483282100409,0.219066714640911,0.219066714640911,1,1,0.101102109744034,0.101102109744034,-1,0.34,0.67,-0.34,1,-0.33255252
10,Denison_2018,1,0,1.08325795503333,0.122705144111327,0.122705144111327,1,1,0.219066714640911,0.219066714640911,1,0.67,0.67,0.67,0,-0.3676142
11,Denison_2018,1,0,0.40143417310901,-0.0728507808657737,0.0728507808657737,-1,1,0.122705144111327,0.122705144111327,-1,0.67,0.67,-0.67,1,-0.32530385
12,Denison_2018,1,0,2.55743405898102,-0.120020057755748,0.120020057755748,-1,-1,0.0728507808657737,-0.0728507808657737,-1,0.67,0.34,-0.67,1,-0.26953566
13,Denison_2018,1,1,0.313381876097992,0.0379420661445603,0.0379420661445603,1,-1,0.120020057755748,-0.120020057755748,-1,0.34,0.34,-0.34,1,-0.18066797
14,Denison_2018,1,1,0.892928201006725,0.111668806090147,0.111668806090147,1,1,0.0379420661445603,0.0379420661445603,1,0.34,0.34,0.34,1,-0.18035588
15,Denison_2018,1,0,0.708868773188442,-0.0111358830405671,0.0111358830405671,-1,1,0.111668806090147,0.111668806090147,1,0.34,0.67,0.34,1,-0.24447966
16,Denison_2018,1,1,0.76832578307949,0.0139159960441011,0.0139159960441011,1,-1,0.0111358830405671,-0.0111358830405671,-1,0.67,0.34,-0.67,1,-0.2073965
17,Denison_2018,1,0,0.571386528201401,-0.0101493556289231,0.0101493556289231,-1,1,0.0139159960441011,0.0139159960441011,1,0.34,0.67,0.34,1,-0.30601323
18,Denison_2018,1,0,0.767224593088031,0.0140533130509195,0.0140533130509195,1,-1,0.0101493556289231,-0.0101493556289231,-1,0.67,0.67,-0.67,0,-0.3525118
19,Denison_2018,1,0,1.76473284699023,0.247198747346165,0.247198747346165,1,1,0.0140533130509195,0.0140533130509195,-1,0.67,0.67,-0.67,0,-0.38571006
20,Denison_2018,1,0,0.942745303967968,-0.0472862360287181,0.0472862360287181,-1,1,0.247198747346165,0.247198747346165,-1,0.67,0.34,-0.67,1,-0.33610314
21,Denison_2018,1,1,0.548758462071419,0.219977969057711,0.219977969057711,1,-1,0.0472862360287181,-0.0472862360287181,-1,0.34,0.67,-0.34,1,-0.26885834
22,Denison_2018,1,0,0.526156983803958,-0.0575268379821288,0.0575268379821288,-1,1,0.219977969057711,0.219977969057711,1,0.67,0.34,0.67,1,-0.27534738
23,Denison_2018,1,1,0.321080272085965,0.0989146751042754,0.0989146751042754,1,-1,0.0575268379821288,-0.0575268379821288,-1,0.34,0.34,-0.34,1,-0.219065
24,Denison_2018,1,0,0.226665667025372,0.014507208011979,0.014507208011979,1,1,0.0989146751042754,0.0989146751042754,1,0.34,0.34,0.34,0,-0.25903147
25,Denison_2018,1,1,0.643634676001966,0.0289736248693503,0.0289736248693503,1,1,0.014507208011979,0.014507208011979,-1,0.34,0.34,-0.34,1,-0.21094361
26,Denison_2018,1,0,0.811450589215383,0.0805744797112495,0.0805744797112495,1,1,0.0289736248693503,0.0289736248693503,1,0.34,0.34,0.34,0,-0.27024972
27,Denison_2018,1,1,1.13351409509778,0.141654519108789,0.141654519108789,1,1,0.0805744797112495,0.0805744797112495,-1,0.34,0.34,-0.34,1,-0.23596545
28,Denison_2018,1,0,0.494791283970699,-0.0118410033620467,0.0118410033620467,-1,1,0.141654519108789,0.141654519108789,1,0.34,0.34,0.34,1,-0.27941287
29,Denison_2018,1,0,0.525949583854526,-0.118148517963753,0.118148517963753,-1,-1,0.0118410033620467,-0.0118410033620467,-1,0.34,0.34,-0.34,1,-0.27125254
30,Denison_2018,1,1,1.19204468792304,-0.0803839110442565,0.0803839110442565,-1,-1,0.118148517963753,-0.118148517963753,-1,0.34,0.34,-0.34,0,-0.21803762
31,Denison_2018,1,0,0.553892608033493,0.0798336207543803,0.0798336207543803,1,-1,0.0803839110442565,-0.0803839110442565,1,0.34,0.34,0.34,0,-0.3108818
32,Denison_2018,1,0,1.07562223193236,-0.0456519999047918,0.0456519999047918,-1,1,0.0798336207543803,0.0798336207543803,-1,0.34,0.34,-0.34,1,-0.32579428
33,Denison_2018,1,1,1.06900228396989,0.481174520658976,0.481174520658976,1,-1,0.0456519999047918,-0.0456519999047918,-1,0.34,0.67,-0.34,1,-0.31255096
34,Denison_2018,1,0,0.313462203135714,-0.0312046971268776,0.0312046971268776,-1,1,0.481174520658976,0.481174520658976,1,0.67,0.34,0.67,1,-0.35020047
35,Denison_2018,1,0,1.05388502310961,-0.0400690124895888,0.0400690124895888,-1,-1,0.0312046971268776,-0.0312046971268776,-1,0.34,0.34,-0.34,1,-0.34629172
36,Denison_2018,1,1,0.679111520992592,0.622908274450526,0.622908274450526,1,-1,0.0400690124895888,-0.0400690124895888,-1,0.34,0.67,-0.34,1,-0.32446614
37,Denison_2018,1,0,0.526476405095309,-0.0400401801734309,0.0400401801734309,-1,1,0.622908274450526,0.622908274450526,1,0.67,0.67,0.67,1,-0.33707914
38,Denison_2018,1,0,1.04157273494639,-0.0373833557125768,0.0373833557125768,-1,-1,0.0400401801734309,-0.0400401801734309,-1,0.67,0.67,-0.67,1,-0.3161695
39,Denison_2018,1,0,2.5285359241534,-0.0114551134602447,0.0114551134602447,-1,-1,0.0373833557125768,-0.0373833557125768,-1,0.67,0.34,-0.67,1,-0.2818359
40,Denison_2018,1,1,0.24703221488744,-0.0107518039317151,0.0107518039317151,-1,-1,0.0114551134602447,-0.0114551134602447,-1,0.34,0.67,-0.34,0,-0.19077507
41,Denison_2018,1,1,1.95731144910678,0.0123957300810006,0.0123957300810006,1,-1,0.0107518039317151,-0.0107518039317151,1,0.67,0.34,0.67,1,-0.20478447
42,Denison_2018,1,0,1.76091002183966,0.222311281526458,0.222311281526458,1,1,0.0123957300810006,0.0123957300810006,1,0.34,0.34,0.34,0,-0.3184682
43,Denison_2018,1,0,2.47007196000777,-0.0511191102087647,0.0511191102087647,-1,1,0.222311281526458,0.222311281526458,-1,0.34,0.01,-0.34,1,-0.31349263
44,Denison_2018,1,1,1.79039504798129,0.0162974397858688,0.0162974397858688,1,-1,0.0511191102087647,-0.0511191102087647,-1,0.01,0.67,-0.01,1,-0.26323715
45,Denison_2018,1,0,1.45830910094082,0.172908541947128,0.172908541947128,1,1,0.0162974397858688,0.0162974397858688,1,0.67,0.34,0.67,0,-0.35226774
46,Denison_2018,1,0,2.86912238388322,-0.0101491807445973,0.0101491807445973,-1,1,0.172908541947128,0.172908541947128,-1,0.34,0.01,-0.34,1,-0.34342268
47,Denison_2018,1,0,2.9793448750861,-0.0103676525868799,0.0103676525868799,-1,-1,0.0101491807445973,-0.0101491807445973,-1,0.01,0.67,-0.01,1,-0.3033576
48,Denison_2018,1,1,0.283212860813364,-0.116225095842506,0.116225095842506,-1,-1,0.0103676525868799,-0.0103676525868799,-1,0.67,0.34,-0.67,0,-0.21438533
49,Denison_2018,1,0,1.03268808615394,-0.0108104363185065,0.0108104363185065,-1,-1,0.116225095842506,-0.116225095842506,1,0.34,0.67,0.34,1,-0.28454113
50,Denison_2018,1,0,1.41498024412431,-0.010040486964616,0.010040486964616,-1,-1,0.0108104363185065,-0.0108104363185065,-1,0.67,0.01,-0.67,1,-0.2973169
51,Denison_2018,1,0,0.90189007204026,-0.0166872004501356,0.0166872004501356,-1,-1,0.010040486964616,-0.010040486964616,-1,0.01,0.01,-0.01,1,-0.27319553
52,Denison_2018,1,1,1.18010557093658,0.244413870595605,0.244413870595605,1,-1,0.0166872004501356,-0.0166872004501356,-1,0.01,0.34,-0.01,1,-0.18260756
53,Denison_2018,1,1,0.902407050831243,0.0561565954471535,0.0561565954471535,1,1,0.244413870595605,0.244413870595605,1,0.34,0.34,0.34,1,-0.11036805
54,Denison_2018,1,1,0.415372960967943,-0.0436986789482139,0.0436986789482139,-1,1,0.0561565954471535,0.0561565954471535,1,0.34,0.34,0.34,0,-0.079627916
55,Denison_2018,1,1,2.33739542099647,-0.0101241896341122,0.0101241896341122,-1,-1,0.0436986789482139,-0.0436986789482139,1,0.34,0.34,0.34,0,-0.111943625
56,Denison_2018,1,0,1.39543015509844,0.0107390166096522,0.0107390166096522,1,-1,0.0101241896341122,-0.0101241896341122,1,0.34,0.34,0.34,0,-0.22127742
57,Denison_2018,1,0,1.55385109013878,-0.108743834569715,0.108743834569715,-1,1,0.0107390166096522,0.0107390166096522,-1,0.34,0.67,-0.34,1,-0.24223888
58,Denison_2018,1,0,1.42994158808142,-0.059617733424886,0.059617733424886,-1,-1,0.108743834569715,-0.108743834569715,-1,0.67,0.34,-0.67,1,-0.23297162
59,Denison_2018,1,1,0.511611726135015,0.234813844467512,0.234813844467512,1,-1,0.059617733424886,-0.059617733424886,-1,0.34,0.34,-0.34,1,-0.16537584
60,Denison_2018,1,1,2.71010287106037,-0.0673811224286911,0.0673811224286911,-1,1,0.234813844467512,0.234813844467512,1,0.34,0.34,0.34,0,-0.12698245
61,Denison_2018,1,1,0.520565553102642,0.234396693348627,0.234396693348627,1,-1,0.0673811224286911,-0.0673811224286911,1,0.34,0.67,0.34,1,-0.1783721
62,Denison_2018,1,0,0.997632899088785,-0.102832584990316,0.102832584990316,-1,1,0.234396693348627,0.234396693348627,1,0.67,0.34,0.67,1,-0.258433
63,Denison_2018,1,0,1.04764013504609,0.0555474370666657,0.0555474370666657,1,-1,0.102832584990316,-0.102832584990316,-1,0.34,0.34,-0.34,0,-0.29254568
64,Denison_2018,1,0,1.38703203992918,0.066469520735864,0.066469520735864,1,1,0.0555474370666657,0.0555474370666657,-1,0.34,0.01,-0.34,0,-0.26730224
65,Denison_2018,1,1,0.25416718586348,-0.0670187366479654,0.0670187366479654,-1,1,0.066469520735864,0.066469520735864,-1,0.01,0.34,-0.01,0,-0.15428974
66,Denison_2018,1,1,0.459406162146479,0.0627721404631528,0.0627721404631528,1,-1,0.0670187366479654,-0.0670187366479654,1,0.34,0.34,0.34,1,-0.15176123
67,Denison_2018,1,0,0.277762847952545,-0.0362648317215569,0.0362648317215569,-1,1,0.0627721404631528,0.0627721404631528,1,0.34,0.34,0.34,1,-0.21800773
68,Denison_2018,1,0,0.753233170136809,-0.107140156926771,0.107140156926771,-1,-1,0.0362648317215569,-0.0362648317215569,-1,0.34,0.34,-0.34,1,-0.2061253
69,Denison_2018,1,1,0.664263617014512,-0.0102643047299521,0.0102643047299521,-1,-1,0.107140156926771,-0.107140156926771,-1,0.34,0.34,-0.34,0,-0.12689893
70,Denison_2018,1,1,0.832491173176095,-0.0100645956253824,0.0100645956253824,-1,-1,0.0102643047299521,-0.0102643047299521,1,0.34,0.34,0.34,0,-0.1344762
71,Denison_2018,1,0,0.326953288167715,0.180720994451451,0.180720994451451,1,-1,0.0100645956253824,-0.0100645956253824,1,0.34,0.34,0.34,0,-0.23752716
72,Denison_2018,1,1,0.282847444992513,0.109426004218768,0.109426004218768,1,1,0.180720994451451,0.180720994451451,-1,0.34,0.34,-0.34,1,-0.18683106
73,Denison_2018,1,0,1.06820345809683,-0.0864454342259791,0.0864454342259791,-1,1,0.109426004218768,0.109426004218768,1,0.34,0.34,0.34,1,-0.21444735
74,Denison_2018,1,1,0.408979709027335,-0.0272968118033576,0.0272968118033576,-1,-1,0.0864454342259791,-0.0864454342259791,-1,0.34,0.34,-0.34,0,-0.16033863
75,Denison_2018,1,0,2.24404749996029,0.0573702711738026,0.0573702711738026,1,-1,0.0272968118033576,-0.0272968118033576,1,0.34,0.01,0.34,0,-0.22296555
76,Denison_2018,1,1,1.5525824718643,0.0131046434311587,0.0131046434311587,1,1,0.0573702711738026,0.0573702711738026,-1,0.01,0.67,-0.01,1,-0.17419979
77,Denison_2018,1,0,1.04197453102097,-0.0690317616186967,0.0690317616186967,-1,1,0.0131046434311587,0.0131046434311587,1,0.67,0.34,0.67,1,-0.21427774
