Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Law_unpub,2,0,0.640878915786743,0.505,0.505,1,1,0.01,0.01,-1,0.34,0.01,-0.34,0,-1.4539182
2,Law_unpub,2,1,0.273489952087402,0.2575,0.2575,1,1,0.505,0.505,-1,0.01,0.01,-0.01,1,-0.9752906
3,Law_unpub,2,0,0.210095167160034,-0.01,0.01,-1,1,0.2575,0.2575,1,0.01,0.01,0.01,1,-0.95969653
4,Law_unpub,2,1,0.21715784072876,-0.01,0.01,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,0,-0.7246295
5,Law_unpub,2,0,0.848357915878296,0.505,0.505,1,-1,0.01,-0.01,1,0.01,0.01,0.01,0,-1.2410628
6,Law_unpub,2,0,1.16070103645325,-0.7525,0.7525,-1,1,0.505,0.505,-1,0.01,0.01,-0.01,1,-1.343496
7,Law_unpub,2,1,0.800266027450562,1.0,1.0,1,-1,0.7525,-0.7525,-1,0.01,0.34,-0.01,1,-1.2314236
8,Law_unpub,2,0,0.649225950241089,0.505,0.505,1,1,1.0,1.0,1,0.34,0.34,0.34,0,-1.3641303
9,Law_unpub,2,1,1.14578795433044,1.0,1.0,1,1,0.505,0.505,-1,0.34,1.0,-0.34,1,-0.99357444
10,Law_unpub,2,0,0.407344102859497,-1.0,1.0,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.74387336
11,Law_unpub,2,1,0.269162178039551,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.47095346
12,Law_unpub,2,0,0.24583101272583,-0.01,0.01,-1,1,0.505,0.505,1,1.0,1.0,1.0,1,-0.3868775
13,Law_unpub,2,1,0.283260822296143,0.01,0.01,1,-1,0.01,-0.01,-1,1.0,1.0,-1.0,1,0.0047312826
14,Law_unpub,2,0,0.277004957199097,-0.505,0.505,-1,1,0.01,0.01,1,1.0,1.0,1.0,1,0.1629545
15,Law_unpub,2,1,0.59974193572998,0.01,0.01,1,-1,0.505,-0.505,-1,1.0,0.01,-1.0,1,0.5395775
16,Law_unpub,2,1,0.992991924285889,0.505,0.505,1,1,0.01,0.01,1,0.01,0.01,0.01,1,0.8062271
17,Law_unpub,2,1,0.359344959259033,1.0,1.0,1,1,0.505,0.505,1,0.01,0.01,0.01,1,0.6335185
18,Law_unpub,2,0,0.756712913513184,-1.0,1.0,-1,1,1.0,1.0,1,0.01,0.34,0.01,1,0.44195408
