Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Maniscalco_2017_expt2,1,0,1.24509902,-0.402930013601563,0.402930013601563,-1,1,0.402930013601563,0.402930013601563,-1,0.01,0.01,-0.01,1,0.35593614
2,Maniscalco_2017_expt2,1,1,1.197784428,-0.171765866612856,0.171765866612856,-1,-1,0.402930013601563,-0.402930013601563,-1,0.01,0.01,-0.01,0,0.36552775
3,Maniscalco_2017_expt2,1,0,1.954741156,0.171765866612856,0.171765866612856,1,-1,0.171765866612856,-0.171765866612856,1,0.01,0.01,0.01,0,0.3311154
4,Maniscalco_2017_expt2,1,1,1.444625711,-0.171765866612856,0.171765866612856,-1,1,0.171765866612856,0.171765866612856,-1,0.01,0.01,-0.01,0,0.3510509
5,Maniscalco_2017_expt2,1,0,1.273114209,0.171765866612856,0.171765866612856,1,-1,0.171765866612856,-0.171765866612856,1,0.01,0.01,0.01,0,0.32319343
6,Maniscalco_2017_expt2,1,0,1.600956146,-0.171765866612856,0.171765866612856,-1,1,0.171765866612856,0.171765866612856,-1,0.01,0.01,-0.01,1,0.3473044
7,Maniscalco_2017_expt2,1,0,1.435176955,0.402930013601563,0.402930013601563,1,-1,0.171765866612856,-0.171765866612856,-1,0.01,0.01,-0.01,0,0.4138444
8,Maniscalco_2017_expt2,1,1,1.288237108,0.171765866612856,0.171765866612856,1,1,0.402930013601563,0.402930013601563,-1,0.01,0.01,-0.01,1,0.5489076
9,Maniscalco_2017_expt2,1,1,0.679250536,0.634094160590269,0.634094160590269,1,1,0.171765866612856,0.171765866612856,1,0.01,0.67,0.01,1,0.6625225
10,Maniscalco_2017_expt2,1,0,1.288778907,-0.634094160590269,0.634094160590269,-1,1,0.634094160590269,0.634094160590269,1,0.67,0.34,0.67,1,0.76616484
11,Maniscalco_2017_expt2,1,1,0.809399004,0.402930013601563,0.402930013601563,1,-1,0.634094160590269,-0.634094160590269,-1,0.34,0.34,-0.34,1,0.8851853
12,Maniscalco_2017_expt2,1,1,0.738577459,-0.634094160590269,0.634094160590269,-1,1,0.402930013601563,0.402930013601563,1,0.34,0.34,0.34,0,0.996908
13,Maniscalco_2017_expt2,1,1,1.273620583,0.402930013601563,0.402930013601563,1,-1,0.634094160590269,-0.634094160590269,1,0.34,0.01,0.34,1,1.0443265
14,Maniscalco_2017_expt2,1,1,1.894763497,0.171765866612856,0.171765866612856,1,1,0.402930013601563,0.402930013601563,1,0.01,0.34,0.01,1,1.0795512
15,Maniscalco_2017_expt2,1,1,0.744074934,0.634094160590269,0.634094160590269,1,1,0.171765866612856,0.171765866612856,1,0.34,0.34,0.34,1,1.0999011
16,Maniscalco_2017_expt2,1,0,0.611528361,-0.634094160590269,0.634094160590269,-1,1,0.634094160590269,0.634094160590269,1,0.34,0.67,0.34,1,1.1120492
17,Maniscalco_2017_expt2,1,1,0.80723584,0.402930013601563,0.402930013601563,1,-1,0.634094160590269,-0.634094160590269,-1,0.67,0.67,-0.67,1,1.1486037
18,Maniscalco_2017_expt2,1,1,1.065477315,-0.402930013601563,0.402930013601563,-1,1,0.402930013601563,0.402930013601563,1,0.67,0.67,0.67,0,1.1808364
19,Maniscalco_2017_expt2,1,1,0.707575026,0.402930013601563,0.402930013601563,1,-1,0.402930013601563,-0.402930013601563,1,0.67,0.67,0.67,1,1.1652715
20,Maniscalco_2017_expt2,1,0,1.532806114,-0.634094160590269,0.634094160590269,-1,1,0.402930013601563,0.402930013601563,1,0.67,0.34,0.67,1,1.1396292
21,Maniscalco_2017_expt2,1,1,1.445986233,0.402930013601563,0.402930013601563,1,-1,0.634094160590269,-0.634094160590269,-1,0.34,0.34,-0.34,1,1.1396003
22,Maniscalco_2017_expt2,1,0,1.403760841,-0.402930013601563,0.402930013601563,-1,1,0.402930013601563,0.402930013601563,1,0.34,0.01,0.34,1,1.1337185
23,Maniscalco_2017_expt2,1,1,0.74421351,0.171765866612856,0.171765866612856,1,-1,0.402930013601563,-0.402930013601563,-1,0.01,0.01,-0.01,1,1.1667026
24,Maniscalco_2017_expt2,1,1,0.607312181,0.634094160590269,0.634094160590269,1,1,0.171765866612856,0.171765866612856,1,0.01,1.0,0.01,1,1.1878675
25,Maniscalco_2017_expt2,1,1,1.268219159,-0.402930013601563,0.402930013601563,-1,1,0.634094160590269,0.634094160590269,1,1.0,0.67,1.0,0,1.199599
26,Maniscalco_2017_expt2,1,1,0.718631331,-0.171765866612856,0.171765866612856,-1,-1,0.402930013601563,-0.402930013601563,1,0.67,0.34,0.67,0,1.1684657
27,Maniscalco_2017_expt2,1,1,0.775248871,0.402930013601563,0.402930013601563,1,-1,0.171765866612856,-0.171765866612856,1,0.34,0.34,0.34,1,1.1012602
28,Maniscalco_2017_expt2,1,0,0.908774825,-0.634094160590269,0.634094160590269,-1,1,0.402930013601563,0.402930013601563,1,0.34,0.01,0.34,1,1.0273334
29,Maniscalco_2017_expt2,1,0,0.748938914,-0.634094160590269,0.634094160590269,-1,-1,0.634094160590269,-0.634094160590269,-1,0.01,1.0,-0.01,1,0.9796773
30,Maniscalco_2017_expt2,1,1,1.252736171,0.402930013601563,0.402930013601563,1,-1,0.634094160590269,-0.634094160590269,-1,1.0,0.67,-1.0,1,0.9514885
31,Maniscalco_2017_expt2,1,1,0.695233497,0.634094160590269,0.634094160590269,1,1,0.402930013601563,0.402930013601563,1,0.67,1.0,0.67,1,0.91549176
32,Maniscalco_2017_expt2,1,0,0.716358069,-0.634094160590269,0.634094160590269,-1,1,0.634094160590269,0.634094160590269,1,1.0,0.67,1.0,1,0.87158936
33,Maniscalco_2017_expt2,1,1,1.008995569,-0.171765866612856,0.171765866612856,-1,-1,0.634094160590269,-0.634094160590269,-1,0.67,0.34,-0.67,0,0.84830195
34,Maniscalco_2017_expt2,1,0,1.004589232,-0.171765866612856,0.171765866612856,-1,-1,0.171765866612856,-0.171765866612856,1,0.34,0.67,0.34,1,0.7802188
35,Maniscalco_2017_expt2,1,1,1.26063551,-0.171765866612856,0.171765866612856,-1,-1,0.171765866612856,-0.171765866612856,-1,0.67,0.01,-0.67,0,0.7609075
36,Maniscalco_2017_expt2,1,0,0.775272938,-0.402930013601563,0.402930013601563,-1,-1,0.171765866612856,-0.171765866612856,1,0.01,0.34,0.01,1,0.6942141
37,Maniscalco_2017_expt2,1,0,1.853580018,-0.171765866612856,0.171765866612856,-1,-1,0.402930013601563,-0.402930013601563,-1,0.34,0.01,-0.34,1,0.6554159
38,Maniscalco_2017_expt2,1,0,2.166734376,0.402930013601563,0.402930013601563,1,-1,0.171765866612856,-0.171765866612856,-1,0.01,0.01,-0.01,0,0.65581715
39,Maniscalco_2017_expt2,1,0,0.75848908,-0.634094160590269,0.634094160590269,-1,1,0.402930013601563,0.402930013601563,-1,0.01,0.67,-0.01,1,0.73415345
40,Maniscalco_2017_expt2,1,0,1.727192438,-0.171765866612856,0.171765866612856,-1,-1,0.634094160590269,-0.634094160590269,-1,0.67,0.01,-0.67,1,0.8297582
