Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Recht_unpub,1,1,0.711165905,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,0.0024721934
2,Recht_unpub,1,0,1.811744928,-0.01,0.01,-1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.044829328
3,Recht_unpub,1,0,1.511562109,-0.01,0.01,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,0.0015423892
4,Recht_unpub,1,1,1.681725979,-0.01,0.01,-1,-1,0.01,-0.01,-1,0.01,1.0,-0.01,0,0.15493004
5,Recht_unpub,1,1,0.871564865,-0.01,0.01,-1,-1,0.01,-0.01,1,1.0,1.0,1.0,0,0.2143107
6,Recht_unpub,1,1,0.651184082,0.01,0.01,1,-1,0.01,-0.01,1,1.0,1.0,1.0,1,0.21534579
7,Recht_unpub,1,1,0.931509018,-1.0,1.0,-1,1,0.01,0.01,1,1.0,1.0,1.0,0,0.17053536
8,Recht_unpub,1,0,1.831520081,1.0,1.0,1,-1,1.0,-1.0,1,1.0,0.01,1.0,0,-0.021874735
9,Recht_unpub,1,0,0.78134203,-0.01,0.01,-1,1,1.0,1.0,-1,0.01,1.0,-0.01,1,-0.030932438
10,Recht_unpub,1,1,0.751394987,-0.01,0.01,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,0,0.04825964
11,Recht_unpub,1,1,0.561089993,1.0,1.0,1,-1,0.01,-0.01,1,0.01,1.0,0.01,1,0.032324437
12,Recht_unpub,1,1,4.71297884,1.0,1.0,1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.005087076
13,Recht_unpub,1,0,1.74171114,-0.01,0.01,-1,1,1.0,1.0,1,0.01,0.01,0.01,1,-0.07982051
14,Recht_unpub,1,0,0.781116009,-1.0,1.0,-1,-1,0.01,-0.01,-1,0.01,1.0,-0.01,1,-0.049166065
15,Recht_unpub,1,1,0.801377058,0.01,0.01,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,0.01287458
16,Recht_unpub,1,0,1.181258917,0.01,0.01,1,1,0.01,0.01,1,1.0,0.01,1.0,0,-0.02794648
17,Recht_unpub,1,1,0.941357136,0.01,0.01,1,1,0.01,0.01,-1,0.01,1.0,-0.01,1,0.042624168
18,Recht_unpub,1,1,2.641939163,1.0,1.0,1,1,0.01,0.01,1,1.0,0.01,1.0,1,0.0125657795
19,Recht_unpub,1,0,1.221561909,0.01,0.01,1,1,1.0,1.0,1,0.01,0.01,0.01,0,-0.04278069
20,Recht_unpub,1,1,0.691439867,1.0,1.0,1,1,0.01,0.01,-1,0.01,1.0,-0.01,1,0.0049181487
21,Recht_unpub,1,1,0.631677151,0.01,0.01,1,1,1.0,1.0,1,1.0,1.0,1.0,1,0.015651194
22,Recht_unpub,1,0,0.731348991,-1.0,1.0,-1,1,0.01,0.01,1,1.0,1.0,1.0,1,-0.06355989
23,Recht_unpub,1,1,1.091357231,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,0.01,-1.0,1,-0.11045709
