Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Wang_2018,3,1,1.1916,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,0.0899719
2,Wang_2018,3,1,0.70196,1e-05,0.01,0.001,1.0,0.34,0.34,1,0.505,0.505,0.505,0,0.0014821909
3,Wang_2018,3,0,0.69813,1e-05,0.01,0.001,0.001,0.01,1e-05,1,0.505,1.0,0.505,0,-0.116396055
4,Wang_2018,3,1,0.94861,0.67,0.67,1.0,0.001,0.01,1e-05,-1,1.0,0.505,-1.0,1,-0.14832994
5,Wang_2018,3,1,0.92872,-0.34,0.34,-1.0,1.0,0.67,0.67,1,0.505,0.505,0.505,0,-0.1837826
6,Wang_2018,3,0,0.69245,1e-05,0.01,0.001,-1.0,0.34,-0.34,1,0.505,1.0,0.505,0,-0.29992324
7,Wang_2018,3,0,0.80606,-0.34,0.34,-1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.34856397
8,Wang_2018,3,0,0.38091,-0.34,0.34,-1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.36278337
9,Wang_2018,3,1,0.649,0.67,0.67,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.33681375
10,Wang_2018,3,1,0.60112,1.0,1.0,1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.32812083
11,Wang_2018,3,0,0.30776,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,0.505,1.0,1,-0.32970873
12,Wang_2018,3,1,0.71729,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,0.505,0.01,-0.505,1,-0.30754054
13,Wang_2018,3,1,0.95323,1.0,1.0,1.0,1.0,0.34,0.34,1,0.01,1.0,0.01,1,-0.31474286
14,Wang_2018,3,0,0.46417,-0.67,0.67,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.3278126
15,Wang_2018,3,1,0.46171,0.34,0.34,1.0,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,1,-0.3140012
16,Wang_2018,3,1,1.187,1e-05,0.01,0.001,1.0,0.34,0.34,1,0.505,1.0,0.505,0,-0.3326707
17,Wang_2018,3,0,0.32171,-1.0,1.0,-1.0,0.001,0.01,1e-05,1,1.0,1.0,1.0,1,-0.4180505
18,Wang_2018,3,0,1.5605,1e-05,0.01,0.001,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,0,-0.48532465
19,Wang_2018,3,0,0.64949,-1.0,1.0,-1.0,0.001,0.01,1e-05,-1,0.505,1.0,-0.505,1,-0.49673942
20,Wang_2018,3,0,0.46029,-0.34,0.34,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.5006725
21,Wang_2018,3,1,1.0579,-0.34,0.34,-1.0,-1.0,0.34,-0.34,-1,1.0,0.505,-1.0,0,-0.4684655
22,Wang_2018,3,1,0.98057,1.0,1.0,1.0,-1.0,0.34,-0.34,1,0.505,1.0,0.505,1,-0.526122
23,Wang_2018,3,0,0.74818,0.34,0.34,1.0,1.0,1.0,1.0,1,1.0,0.505,1.0,0,-0.59939337
24,Wang_2018,3,0,0.61222,-1.0,1.0,-1.0,1.0,0.34,0.34,-1,0.505,0.505,-0.505,1,-0.6086621
25,Wang_2018,3,1,0.23612,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,0.505,1.0,-0.505,1,-0.6212076
26,Wang_2018,3,0,0.60031,-0.67,0.67,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.6489026
27,Wang_2018,3,0,0.44828,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,0,-0.6753712
28,Wang_2018,3,0,1.3669,-0.34,0.34,-1.0,0.001,0.01,1e-05,-1,1.0,0.505,-1.0,1,-0.65733737
29,Wang_2018,3,1,0.25344,1.0,1.0,1.0,-1.0,0.34,-0.34,-1,0.505,1.0,-0.505,1,-0.6160971
30,Wang_2018,3,0,0.50039,1e-05,0.01,0.001,1.0,1.0,1.0,1,1.0,1.0,1.0,0,-0.59826237
31,Wang_2018,3,1,0.38195,-0.34,0.34,-1.0,0.001,0.01,1e-05,-1,1.0,0.01,-1.0,0,-0.535601
32,Wang_2018,3,0,0.68172,-1.0,1.0,-1.0,-1.0,0.34,-0.34,1,0.01,1.0,0.01,1,-0.57190824
33,Wang_2018,3,0,1.0407,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.5977356
34,Wang_2018,3,1,0.75505,0.67,0.67,1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,1,-0.55359393
35,Wang_2018,3,1,0.74184,0.34,0.34,1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.5312319
36,Wang_2018,3,0,0.85761,-0.67,0.67,-1.0,1.0,0.34,0.34,1,1.0,0.505,1.0,1,-0.56899565
37,Wang_2018,3,0,0.96547,-0.34,0.34,-1.0,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,1,-0.58931863
38,Wang_2018,3,1,0.68423,1.0,1.0,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.584463
39,Wang_2018,3,0,1.1001,1e-05,0.01,0.001,1.0,1.0,1.0,1,1.0,0.505,1.0,0,-0.58890635
40,Wang_2018,3,1,0.76955,0.67,0.67,1.0,0.001,0.01,1e-05,-1,0.505,1.0,-0.505,1,-0.5531766
41,Wang_2018,3,1,1.135,1e-05,0.01,0.001,1.0,0.67,0.67,1,1.0,0.505,1.0,0,-0.5354837
42,Wang_2018,3,1,0.68035,1.0,1.0,1.0,0.001,0.01,1e-05,1,0.505,0.505,0.505,1,-0.59694856
43,Wang_2018,3,0,0.85347,-0.34,0.34,-1.0,1.0,1.0,1.0,1,0.505,1.0,0.505,1,-0.6802819
44,Wang_2018,3,0,0.68941,-0.67,0.67,-1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.74206054
45,Wang_2018,3,1,0.5607,0.67,0.67,1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.7986452
46,Wang_2018,3,0,0.55228,0.67,0.67,1.0,1.0,0.67,0.67,1,1.0,0.505,1.0,0,-0.9086619
47,Wang_2018,3,0,1.5895,0.34,0.34,1.0,1.0,0.67,0.67,-1,0.505,0.505,-0.505,0,-0.95202845
48,Wang_2018,3,0,0.26676,-0.34,0.34,-1.0,1.0,0.34,0.34,-1,0.505,1.0,-0.505,1,-0.9602865
49,Wang_2018,3,0,0.35748,0.34,0.34,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,0,-0.9724007
50,Wang_2018,3,0,0.78174,0.67,0.67,1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.9465406
51,Wang_2018,3,0,0.8056,-0.67,0.67,-1.0,1.0,0.67,0.67,-1,1.0,0.505,-1.0,1,-0.8575996
52,Wang_2018,3,0,0.57228,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,1,-0.7780612
53,Wang_2018,3,1,1.0163,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.68444264
54,Wang_2018,3,1,0.3786,1.0,1.0,1.0,0.001,0.01,1e-05,1,0.505,1.0,0.505,1,-0.67698765
55,Wang_2018,3,0,0.53589,-0.34,0.34,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.6938954
56,Wang_2018,3,1,0.27359,0.67,0.67,1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.686528
57,Wang_2018,3,0,0.98568,-1.0,1.0,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.71591496
58,Wang_2018,3,0,1.3459,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.743912
59,Wang_2018,3,0,0.32041,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,0,-0.7675575
