,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.5814235875446716,0.0927136081092,0.45596996157152514,0.88264453,0.15538754,-0.035403624,CalderTravis_unpub
1,2,0.5692808000795324,0.025165614066939564,0.33661242382487544,0.8592659,0.13328935,-0.17011908,CalderTravis_unpub
2,3,0.6527293545087057,0.10658059411568194,0.28206668756986986,0.8480283,0.10937597,-0.16756354,CalderTravis_unpub
3,4,0.6816924914122269,0.1556280894854156,1.085262474609216,0.89431095,0.42878821,-0.104473926,CalderTravis_unpub
4,5,0.5611101568634999,0.046392981325669845,0.9463185607432282,0.86518,0.48754174,-0.30542982,CalderTravis_unpub
5,6,0.7154712848445517,0.1507472008409003,0.24592133830441507,0.86284065,0.074401535,0.059291072,CalderTravis_unpub
6,7,0.7191843470335599,0.1116729783319569,0.2922824864819921,0.8650189,0.09233575,-0.7077174,CalderTravis_unpub
7,8,0.6068018085510679,0.111233158381071,0.21888840330306514,0.84476864,0.08153837,-0.22064205,CalderTravis_unpub
8,9,0.6861479072589467,0.08640372250095735,0.16340367183027993,0.8519579,0.0616824,-0.47397417,CalderTravis_unpub
9,10,0.6636860426163443,0.10233710225448904,0.739957495043903,0.88042295,0.27300662,-0.50589603,CalderTravis_unpub
10,11,0.7208260135146786,0.1108890855918306,0.4868876402581865,0.8861328,0.13485113,0.006519451,CalderTravis_unpub
11,12,0.7692516915678339,0.1639959250013222,1.383856660848412,0.9229413,0.484963,-1.1352935,CalderTravis_unpub
12,13,0.6642425688223845,0.13176695821579576,0.19648150660267988,0.8486511,0.06609848,0.4110914,CalderTravis_unpub
13,14,0.6438429086090305,0.09091342810075906,0.46028139408835045,0.8618817,0.17876053,-0.6858568,CalderTravis_unpub
14,15,0.7760048675624717,0.21471408726155033,0.44531978760847574,0.896504,0.09948217,0.29264387,CalderTravis_unpub
15,16,0.9498470966436375,0.07115944919902056,1.0003806954405796,0.88700956,0.4388642,0.4447291,CalderTravis_unpub
16,17,0.8304008532975146,0.19125847559791523,0.1838043929589646,0.85032004,0.07746615,-0.39391017,CalderTravis_unpub
17,18,0.5846677925138803,0.060746253797066746,0.18443657615151787,0.85695887,0.0683598,-0.6910234,CalderTravis_unpub
18,19,0.5964264575795072,0.07995290394485438,0.2946618456126672,0.873688,0.08161649,-0.9071363,CalderTravis_unpub
19,20,0.7477504161214319,0.10198379246829005,0.27146921130159346,0.85500073,0.092374206,-0.23782791,CalderTravis_unpub
20,21,0.8652277389250727,0.10384828936703842,0.6346084840058133,0.87707454,0.2405534,0.28458917,CalderTravis_unpub
21,22,0.7310724265490515,0.16525795046094513,0.4251459378738633,0.86485416,0.15802605,-0.4130119,CalderTravis_unpub
22,23,0.8389996671876607,0.12885245965873773,0.17807651732549926,0.858693,0.06424887,-0.059959438,CalderTravis_unpub
23,24,0.7318427816308659,0.07442414942956445,0.5861635164298914,0.91255176,0.12647432,-0.24686548,CalderTravis_unpub
24,25,0.594958886332591,0.060080347131446665,0.14573542475420054,0.84408456,0.052690323,0.30790055,CalderTravis_unpub
25,26,0.8011249408574117,0.1520962130720666,0.14653784142538923,0.83941275,0.05466703,0.30496326,CalderTravis_unpub
26,27,0.7246564570678315,0.18389160992603099,1.194349251422969,0.945311,0.19394346,0.06603518,CalderTravis_unpub
27,28,0.564729009349055,0.09151299168114416,0.2419898033279072,0.8627386,0.08800428,0.41207525,CalderTravis_unpub
28,29,0.7586277499929797,0.1452152171713444,0.34045749548730575,0.8719128,0.11754229,-0.28293395,CalderTravis_unpub
29,30,0.6895589668367968,0.15191514435391246,0.24929565659320485,0.86128634,0.09214338,-0.1857812,CalderTravis_unpub
30,31,0.5874879560712715,0.11282212122144979,0.6136128514308082,0.8993231,0.16904624,0.31325483,CalderTravis_unpub
31,32,0.5359649527428666,0.034244262382174095,0.3928018416547222,0.90330166,0.07777371,-0.21404195,CalderTravis_unpub
32,33,0.661792653354515,0.14731373819339583,0.5589461832825184,0.88104373,0.18891656,-0.35647506,CalderTravis_unpub
33,34,0.6867416833818955,0.12450761923733142,0.14892182523837502,0.837585,0.05967414,-0.49077013,CalderTravis_unpub
34,35,0.6625686054665729,0.21942285720487675,0.33034786637915164,0.86931,0.11363738,-0.4328691,CalderTravis_unpub
35,36,0.6598319458141811,0.13267147371628746,0.4003292889949018,0.8660899,0.14264683,-0.81014735,CalderTravis_unpub
36,37,0.6975354599252944,0.13985500636801337,0.16623473829390217,0.8444208,0.058048096,0.7128565,CalderTravis_unpub
37,38,0.8117916708632361,0.1673625480247692,0.29278921921413376,0.8823647,0.07935867,-0.29175296,CalderTravis_unpub
38,39,0.6187636025293034,0.12362868124648681,0.43415891179134236,0.8906093,0.11421815,-0.7697919,CalderTravis_unpub
39,40,0.620758273610965,0.08449820207513226,0.39564054946772975,0.85849637,0.1581227,0.66138,CalderTravis_unpub
40,41,0.6352197366498878,0.09755753841496934,0.1965029472258324,0.8567775,0.06779269,1.010537,CalderTravis_unpub
41,42,0.6340714276397816,0.09902021739300915,0.30961305039003145,0.88368213,0.071484804,-0.48421085,CalderTravis_unpub
42,43,0.7437097811801823,0.09640300908851832,0.22640947034650552,0.8569812,0.08294526,-0.65693635,CalderTravis_unpub
43,44,0.6462172941048092,0.1269545324982224,0.49230126272404284,0.8660054,0.20529635,-0.60611224,CalderTravis_unpub
44,45,0.6218020314658276,0.1247393515932818,0.29067565255285754,0.87119955,0.08827773,-0.48346403,CalderTravis_unpub
45,46,0.5779827375343595,0.029686710489154767,0.13247762419698064,0.8458554,0.07827655,0.22033356,CalderTravis_unpub
46,47,0.7785583452672494,0.15464457600132925,0.525216279415842,0.8755593,0.20740642,-1.8331292,CalderTravis_unpub
47,48,0.724919923063328,0.21019113229881456,0.3572867026292202,0.8814042,0.10039298,0.064501874,CalderTravis_unpub
