,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.38381605351170567,0.371662370345449,0.6870956851312872,0.8852765,0.22943564,-0.21342555,Filevich_unpub
1,2,0.22669814502529514,0.3030382272512946,0.0875843987320362,0.59399056,0.0915521,-1.5409379,Filevich_unpub
2,3,0.33788532883642497,0.28975660861094743,0.11729303903295409,0.5976201,0.120448515,-0.91544014,Filevich_unpub
3,4,0.29047217537942666,0.32916348673285634,0.1626702949613514,0.61057776,0.15149477,-0.49694586,Filevich_unpub
4,5,0.3717113752122241,0.3479963125679074,0.10715057480111234,0.56187046,0.13407576,-0.7431973,Filevich_unpub
5,6,0.2597537942664418,0.2657552472530033,0.1309019437064471,0.59709454,0.11772434,-0.33004802,Filevich_unpub
6,7,0.25901016949152544,0.3070916807823744,0.07998488322962062,0.55658245,0.10063131,-0.5043543,Filevich_unpub
7,8,0.37084422110552767,0.29075280245454643,0.12618923440312377,0.61305285,0.11328703,-0.67024475,Filevich_unpub
8,9,0.2335483870967742,0.3189931328856101,0.11071484673244143,0.5834729,0.11213867,-0.16854076,Filevich_unpub
9,10,0.41427759197324415,0.3571063632020829,0.11669147346840542,0.58009905,0.12196178,-0.08533021,Filevich_unpub
10,11,0.3742930153321976,0.31856760685738966,0.1152959004409028,0.5662886,0.13887976,-0.5052357,Filevich_unpub
11,12,0.8002601054481547,0.22338138258413592,0.23096754122897625,0.68831515,0.16384484,-1.0200866,Filevich_unpub
12,13,0.3773734939759036,0.3685815587277126,0.07983485868241205,0.5469113,0.10506034,-0.21744797,Filevich_unpub
13,14,0.465469964664311,0.36736185770233726,0.2169299837741582,0.67492956,0.1600449,-0.6014281,Filevich_unpub
14,15,0.5046373626373626,0.33675470668281904,0.09796583223484982,0.5707977,0.11446045,-0.5896872,Filevich_unpub
15,16,0.5594832214765101,0.3187358666030299,0.05261618780321453,0.52056026,0.086451575,-0.8870222,Filevich_unpub
16,17,0.4115971731448763,0.2968010810140519,0.18755460506660507,0.629297,0.20213017,-0.7310007,Filevich_unpub
