,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,2,0.46491136600625654,0.4002936910677896,0.9251851478851569,0.7190679,1.3522643,-0.8237559,Law_unpub
1,3,0.41088633993743484,0.2440018365785571,2.355417324915502,0.90480286,1.588618,-1.4101136,Law_unpub
2,4,0.5712408759124088,0.3125039011993051,1.2394725865379057,0.9284013,0.3552197,-0.47121745,Law_unpub
3,5,0.3892075078206465,0.27300844180426387,0.20173487626185269,0.7902346,0.114310615,0.85808253,Law_unpub
4,6,0.3331178310740355,0.2653877646803916,1.3287481468738005,0.69767207,2.5337965,-0.2547621,Law_unpub
5,7,0.3406882168925965,0.21270144762400514,2.054685364787742,0.8942209,1.3761357,-0.3429206,Law_unpub
6,8,0.39505735140771636,0.3014307771426868,0.20391398628881433,0.76924086,0.12269591,-0.50949544,Law_unpub
7,10,0.4896871741397289,0.34837964640529734,0.499279355931058,0.84914553,0.25808734,0.023646643,Law_unpub
8,11,0.38473409801876957,0.27148456627104356,2.201355385886818,0.9450471,0.7487464,0.7687062,Law_unpub
9,12,0.32004171011470284,0.2715085790322203,0.40743037411879357,0.8035423,0.2919129,0.124565326,Law_unpub
10,13,0.24605839416058398,0.22397039006580438,0.3452794416345732,0.7542408,0.28091076,0.31346518,Law_unpub
11,14,0.5123983315954119,0.23870755825658538,0.697260369492006,0.8610042,0.41163623,-0.011548615,Law_unpub
12,15,0.7656621480709072,0.30742508386250034,0.21782938591651074,0.8166763,0.10550761,-0.66313213,Law_unpub
13,16,0.41088633993743484,0.32369627154472336,0.2675042354462132,0.8095745,0.12084954,-0.17713295,Law_unpub
