,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.3471316306483301,0.3341195156669259,0.5586114188746276,0.93992156,0.08059528,1.2206551,Maniscalco_2017_expt2
1,2,0.10932673267326733,0.16646637422684488,0.9604067758224949,0.9067673,0.362457,-0.4684316,Maniscalco_2017_expt2
2,3,0.36787819253438114,0.3075970765655735,0.36015915378439883,0.87638324,0.11369129,0.3012708,Maniscalco_2017_expt2
3,4,0.44373280943025545,0.3376117711162119,0.3722864798308122,0.90818644,0.06330279,0.5926343,Maniscalco_2017_expt2
4,5,0.29360396039603964,0.44464503586657983,0.7048540609675639,0.9376403,0.11688067,0.58802575,Maniscalco_2017_expt2
5,6,0.2693320235756385,0.2784397363657575,0.25234626646916886,0.8555458,0.09707827,-0.39177054,Maniscalco_2017_expt2
6,7,0.22589390962671907,0.2549213182267353,0.21977727463696423,0.86956644,0.06843706,-0.4039082,Maniscalco_2017_expt2
7,8,0.22135559921414538,0.2607672078427553,0.846581568648435,0.9550446,0.094939895,0.47828862,Maniscalco_2017_expt2
8,9,0.34,0.31296255707380966,1.423494907886051,0.9619639,0.22787502,-0.6086512,Maniscalco_2017_expt2
9,10,0.20514734774066798,0.23472011289088693,0.6925870719905693,0.9167139,0.15951276,-0.51727587,Maniscalco_2017_expt2
10,11,0.6021739130434782,0.22493391194718873,0.6601884523079589,0.9086054,0.16511318,-0.0040166653,Maniscalco_2017_expt2
11,12,0.3250884086444008,0.3519907418185967,0.12683271285161649,0.84886056,0.044132076,0.29446098,Maniscalco_2017_expt2
12,13,0.47706692913385823,0.37231545267502714,0.5168632735866155,0.9142999,0.107394755,-0.0785084,Maniscalco_2017_expt2
13,14,0.548762278978389,0.35753123379818547,0.4325922722763476,0.89213175,0.11553991,0.65622795,Maniscalco_2017_expt2
14,15,0.5941453831041258,0.3851841599674924,0.24964842751171845,0.8782874,0.07257861,0.35880753,Maniscalco_2017_expt2
15,16,0.8538385826771654,0.24756811173550425,0.5230357120189915,0.9144349,0.13015129,0.28389397,Maniscalco_2017_expt2
16,17,0.3847347740667977,0.3615106351952179,0.3522685112940855,0.89651775,0.07872337,-0.6229748,Maniscalco_2017_expt2
17,18,0.3782514734774067,0.33775644620282935,0.37876166957266744,0.90539455,0.0795814,0.20437108,Maniscalco_2017_expt2
18,19,0.41420118343195267,0.36715806194225076,0.19073728463175588,0.8582723,0.06421703,0.4132732,Maniscalco_2017_expt2
19,20,0.4223379174852652,0.3799184482481426,0.1850740757605727,0.86507654,0.05446257,-0.10900384,Maniscalco_2017_expt2
20,21,0.14355599214145384,0.23179148098651342,0.7274592884785976,0.9403481,0.12655908,-0.98680353,Maniscalco_2017_expt2
21,22,0.218762278978389,0.2763688915989187,0.6160760768874736,0.9371999,0.08820594,0.37099904,Maniscalco_2017_expt2
22,23,0.5862007874015749,0.25054247857279316,1.0268004468836884,0.89698446,0.43468976,0.32140005,Maniscalco_2017_expt2
23,24,0.4443811394891945,0.38238252804464945,0.3561470112586736,0.88365495,0.11973451,0.1984888,Maniscalco_2017_expt2
24,25,0.2237204724409449,0.27100466275123825,1.017534553381652,0.96303546,0.110028915,0.25735447,Maniscalco_2017_expt2
25,26,0.2143486973947896,0.26189402546757157,0.5734075155945616,0.9064664,0.13755883,0.056761984,Maniscalco_2017_expt2
26,27,0.5027308447937132,0.36019762763818225,0.7997857828121722,0.9381555,0.14991076,-0.085264124,Maniscalco_2017_expt2
27,28,0.32962671905697444,0.3076422565657133,0.40419134313518534,0.8851515,0.13499266,-0.7917678,Maniscalco_2017_expt2
28,29,0.3763064833005894,0.3200536870214032,0.3075422090078421,0.8866967,0.07450601,0.55554384,Maniscalco_2017_expt2
29,30,0.39866666666666667,0.3419274966355668,0.32447194942187485,0.9012706,0.064100854,0.4729203,Maniscalco_2017_expt2
30,31,0.7607662082514736,0.36967479105199286,0.35361895792849274,0.90157515,0.07987722,-0.7809682,Maniscalco_2017_expt2
31,32,0.7614851485148515,0.37740126990909256,0.2992335092083095,0.8913814,0.08131195,1.1521873,Maniscalco_2017_expt2
32,33,0.6271259842519685,0.37635070077571836,0.19214695520448713,0.8615065,0.07593606,0.15410163,Maniscalco_2017_expt2
33,34,0.3660355029585799,0.29444706457335107,0.5296999778801466,0.9300935,0.08467233,0.75609094,Maniscalco_2017_expt2
34,35,0.2358579881656805,0.2344984631077507,0.5722036719504645,0.94179124,0.0685074,-0.76458585,Maniscalco_2017_expt2
35,36,0.35426326129666014,0.3244475884386779,0.5048323386746889,0.9046689,0.12857077,0.4430593,Maniscalco_2017_expt2
36,37,0.4666732283464567,0.42124891271236764,0.612628352913016,0.93109757,0.103289865,0.28411594,Maniscalco_2017_expt2
37,38,0.23500000000000001,0.20335819249650486,0.6727723392731277,0.9168415,0.16448516,-0.2960321,Maniscalco_2017_expt2
38,39,0.21811394891944993,0.27019674004078337,0.29373689817413506,0.8983274,0.06293872,-0.05660198,Maniscalco_2017_expt2
39,40,0.5140944881889764,0.36156051068761935,0.39839661771248497,0.91338456,0.075586215,0.28740942,Maniscalco_2017_expt2
40,41,0.5268910891089109,0.37245650382543594,0.5269596874768488,0.90897083,0.12288883,-0.05155215,Maniscalco_2017_expt2
