,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.5078663665594855,0.22903992502108142,0.3243156884013262,0.8982798,0.06955952,0.52546567,Shekhar_2021
1,2,0.4639908681672026,0.2631897716374332,0.5900120325263251,0.90587634,0.14538805,-0.11030191,Shekhar_2021
2,3,0.39619125401929256,0.26590047908048564,0.4323870215542035,0.87468255,0.15552047,0.12610726,Shekhar_2021
3,4,0.4935981993569131,0.34637108441956976,0.580122751515019,0.9505458,0.060499955,0.41634062,Shekhar_2021
4,5,0.2583990996784566,0.30939369261820215,0.7145165601684204,0.9133251,0.16520865,0.2915082,Shekhar_2021
5,6,0.3934769774919614,0.3518915628601543,0.6056186706392004,0.88721275,0.18748231,0.25809646,Shekhar_2021
6,7,0.22298334405144693,0.11933707669162273,0.4219842395026707,0.9017376,0.10006787,-0.34443486,Shekhar_2021
7,8,0.3648805144694534,0.36568939415597324,0.5831014543837889,0.97293663,0.029333161,0.19757229,Shekhar_2021
8,9,0.25989807073954985,0.19441214852672045,0.24973387375716935,0.8619756,0.074218154,0.20686042,Shekhar_2021
9,10,0.7604624437299036,0.3207815011164153,0.2732329009318381,0.90147996,0.053583033,-0.0970886,Shekhar_2021
10,11,0.4416336334405145,0.296326571908539,0.32233197010026127,0.8525105,0.12151971,0.29996592,Shekhar_2021
11,12,0.6429003858520901,0.3994255357768044,0.7185004189366323,0.9487564,0.08910622,-0.23937999,Shekhar_2021
12,13,0.7235703536977492,0.3231061659245341,0.33130909840209316,0.8684105,0.110224575,0.07431569,Shekhar_2021
13,14,0.5825489389067524,0.24356302265030844,0.37245242931386946,0.8706379,0.11959245,-0.07680767,Shekhar_2021
14,15,0.31477498392282954,0.2260207673689507,0.17726711605316878,0.8342349,0.06270476,0.054472473,Shekhar_2021
15,16,0.5422889389067523,0.2848708917228063,0.6462178979696529,0.8474582,0.32024416,-0.18267547,Shekhar_2021
16,17,0.5353458520900322,0.31088026690652726,0.17816889726792118,0.82413864,0.074479304,0.40573135,Shekhar_2021
17,18,0.8093618649517684,0.2671043202046779,0.6281367627125676,0.8918172,0.19358413,0.39854026,Shekhar_2021
18,19,0.5854740192926046,0.31436182738760016,0.32732745632573423,0.8770028,0.09327958,0.2833679,Shekhar_2021
19,20,0.34490790996784565,0.2538342123771927,0.4946165979819827,0.951704,0.047683615,0.049899615,Shekhar_2021
