,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.7968875677566007,0.2611222956460673,0.3622531308368582,0.8881008,0.07759157,0.012354818,Siedlecka_2021
1,3,0.780527778590445,0.1898075359177003,0.3649449502799704,0.87407684,0.10328394,0.37119728,Siedlecka_2021
2,4,0.9432858617131064,0.1620564395245951,0.4635742336373952,0.91264564,0.08345508,0.18314907,Siedlecka_2021
3,5,0.8383312151346106,0.1380884742380692,0.12232960452447428,0.74650145,0.07437684,-0.24055624,Siedlecka_2021
4,6,0.7381837134556546,0.26156929235619003,0.08664455938585669,0.6998758,0.06725808,-0.17427792,Siedlecka_2021
5,7,0.34848764769065543,0.1420073327523001,0.35906274878332595,0.8808053,0.08763192,-0.10134492,Siedlecka_2021
6,8,0.5686008626216705,0.19675192067718084,0.1517721587950309,0.77911115,0.0655104,0.32669267,Siedlecka_2021
7,9,0.8770554037613928,0.23850315074320472,0.2249690706404838,0.79765546,0.104015976,-0.18020643,Siedlecka_2021
8,10,0.7146295142000079,0.2683728735178117,0.1191295821622523,0.73792815,0.075173475,-0.31525236,Siedlecka_2021
9,11,0.6565963878769088,0.23908124802177844,0.41251296555395767,0.922681,0.049111526,-0.17424934,Siedlecka_2021
10,12,0.6037440236475093,0.23449066097429333,0.30633782072127624,0.8444778,0.1056477,-0.10361058,Siedlecka_2021
11,13,0.727652045170842,0.23393603377277852,0.16500065690622778,0.77581537,0.07927918,-0.39414936,Siedlecka_2021
12,14,0.7182117324358761,0.24813771270970067,0.14864183656410535,0.7629139,0.08436483,0.6964134,Siedlecka_2021
13,15,0.7961946911262632,0.21226149571351322,0.16600309929136062,0.78491205,0.07354205,0.47480583,Siedlecka_2021
14,16,0.5575361404822673,0.2326050384841472,0.5486083165617291,0.9445986,0.059665494,-0.26295304,Siedlecka_2021
15,18,0.6852863819781112,0.24397283358899916,0.16701263382767073,0.7747562,0.08487509,0.068617724,Siedlecka_2021
16,19,0.6547665675817451,0.23066619793998844,0.5229204888623324,0.9576819,0.04282395,-0.64518946,Siedlecka_2021
17,21,0.8431267454350161,0.2543098333054435,0.5672251098691348,0.91804755,0.11346249,0.08685455,Siedlecka_2021
18,22,0.4377089441751098,0.17209192450817426,0.08525118734237525,0.7188483,0.06086822,0.38896263,Siedlecka_2021
19,23,0.8304266772329281,0.22768724493658807,0.2101171722780857,0.8185543,0.07253276,0.081245564,Siedlecka_2021
20,24,0.778408505216829,0.27965948579054156,0.22563295849779869,0.8206573,0.08019161,0.114936024,Siedlecka_2021
21,25,0.6686055254415109,0.2380351857932734,0.14711212987710964,0.77666926,0.07192284,-0.032575175,Siedlecka_2021
22,26,0.4883333496289491,0.1382024974860271,0.23877087607134612,0.8556355,0.044403613,0.26282525,Siedlecka_2021
23,27,0.49012255047066505,0.16069954318746713,0.6115888922671636,0.95836294,0.04532346,0.1548791,Siedlecka_2021
24,28,0.6910790201309726,0.17083627733104628,0.11962192694743427,0.74917054,0.060970522,0.023187334,Siedlecka_2021
25,29,0.38433912967747574,0.14136297731567216,0.11789344205527955,0.74521106,0.07088084,-0.49125853,Siedlecka_2021
26,30,0.7316339992461365,0.23168842945122872,0.7930079192466054,0.92579603,0.18107934,0.31813022,Siedlecka_2021
27,31,0.6692924569488237,0.2291027087156126,0.06387327147912886,0.68178904,0.054613214,0.12819768,Siedlecka_2021
28,32,0.7276172410055282,0.2740177571311373,0.3628173025301263,0.8844402,0.08773643,0.21977024,Siedlecka_2021
29,33,0.7373269180653816,0.2515195586100062,0.15000803144738886,0.7776578,0.06845242,-0.11119212,Siedlecka_2021
30,34,0.6956747751732272,0.29534400382367104,0.10919037014392463,0.74561155,0.057972014,0.17427097,Siedlecka_2021
31,35,0.8394734911733762,0.21823172107346875,0.1622743645668705,0.78072023,0.07258772,0.19865873,Siedlecka_2021
32,36,0.8415703544575724,0.27217729174898975,0.36819146510604156,0.894531,0.071865015,-0.1939021,Siedlecka_2021
33,37,0.5724500537056928,0.19629540879528265,0.6269251589782303,0.96127075,0.051129196,-0.3974587,Siedlecka_2021
34,38,0.42166283317548386,0.19018575560067252,0.26895618327157683,0.8109911,0.12389596,0.28017995,Siedlecka_2021
35,39,0.6457428919342056,0.20481469412379472,0.47709426696590096,0.9512036,0.03876757,0.04416157,Siedlecka_2021
36,40,0.6309186637968478,0.27953540607610106,0.10340417437501526,0.7337545,0.06803531,0.012574071,Siedlecka_2021
37,41,0.5461758509384002,0.1441520134121416,0.390289323227495,0.92761266,0.04590492,0.39303347,Siedlecka_2021
38,42,0.4128132668485838,0.1617655245078707,0.5768193154723651,0.915879,0.12317759,-0.17491056,Siedlecka_2021
39,43,0.9159916183902378,0.18735776506979324,0.5419600748225712,0.8746028,0.19091867,-0.00056059775,Siedlecka_2021
40,44,0.7761056685359096,0.14676683592767084,0.09014257753268202,0.72194237,0.06817413,-0.4587813,Siedlecka_2021
41,45,0.6997776542523625,0.27230238304607385,0.7420590906243326,0.93599623,0.12985441,-0.18115468,Siedlecka_2021
42,46,0.7583808358104562,0.25016479733987096,0.24990709759565594,0.81591684,0.10290286,-0.11763904,Siedlecka_2021
43,47,0.7426651674114683,0.22176615860120175,0.3655698615680042,0.87184185,0.1072868,-0.16426472,Siedlecka_2021
44,48,0.6759097744360902,0.28157843862885334,0.4719775070954737,0.9315585,0.06105951,0.12849118,Siedlecka_2021
45,49,0.589019936939122,0.186063960889074,0.25233654594505966,0.82764584,0.09304561,0.1727248,Siedlecka_2021
46,50,0.6173908421439201,0.2501285249794314,0.18258359381330902,0.80252963,0.06772353,-0.33629373,Siedlecka_2021
47,51,0.7007413048750909,0.23855309397043215,0.3488581057325979,0.8748705,0.09082862,0.57606196,Siedlecka_2021
48,52,0.5985681427218432,0.218088241587464,0.40031651515136035,0.8819767,0.1043706,0.4815018,Siedlecka_2021
49,53,0.6376773013615119,0.2676812375692692,0.4511933154227274,0.91454244,0.08106529,0.017380191,Siedlecka_2021
50,54,0.746666533354663,0.2147296541556137,0.9631535490710516,0.9801914,0.045393374,-0.16093847,Siedlecka_2021
