,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.6027204502814258,0.2811044127889299,0.7743300967548881,0.88367516,0.3116943,-0.81465024,VanBoxtel_2019_Expt2
1,2,0.6439962476547842,0.3682645121710544,0.3601131535299953,0.9077797,0.08209814,-0.14641148,VanBoxtel_2019_Expt2
2,3,0.470844277673546,0.27585339223620775,0.21090599010853336,0.85367686,0.08086491,-0.05610042,VanBoxtel_2019_Expt2
3,4,0.426266416510319,0.25021844087075984,0.16855996630941736,0.8160626,0.12507784,0.23131457,VanBoxtel_2019_Expt2
4,5,0.4528893058161351,0.3055388266615277,0.5071620448403366,0.87681925,0.25212964,0.900466,VanBoxtel_2019_Expt2
5,6,0.09564727954971858,0.1776859055111375,0.9064179980016052,0.95301574,0.13311468,-0.43116432,VanBoxtel_2019_Expt2
6,7,0.754202626641651,0.4072644157651645,0.15995569591570347,0.8342635,0.0801594,-0.87511754,VanBoxtel_2019_Expt2
7,8,0.31915572232645406,0.32799287232512087,0.7908463697367566,0.9362551,0.15807064,-0.03116913,VanBoxtel_2019_Expt2
8,9,0.835515947467167,0.18417449238193234,0.9158682413982249,0.9457129,0.13843523,0.55279577,VanBoxtel_2019_Expt2
9,10,0.6768105065666041,0.32733758699468896,0.4445215461767029,0.9252077,0.067575485,-0.63701797,VanBoxtel_2019_Expt2
10,11,0.3682739212007505,0.28252220445317666,0.5410089199873545,0.96135354,0.039212942,-0.11443415,VanBoxtel_2019_Expt2
11,12,0.6021013133208255,0.4159902608396236,0.5602437127841192,0.88622856,0.2160135,0.45257896,VanBoxtel_2019_Expt2
12,13,0.7098311444652908,0.2925292732792482,0.8736524649460935,0.9389695,0.19508724,-1.0823822,VanBoxtel_2019_Expt2
13,15,0.5969418386491557,0.25412337428120746,0.8180328757758925,0.88105243,0.3178218,-0.5419383,VanBoxtel_2019_Expt2
14,16,0.26879924953095685,0.253174209932916,1.4792205213330698,0.8881694,0.78557473,-0.2892663,VanBoxtel_2019_Expt2
15,19,0.16292682926829272,0.19528468747149955,0.2054890757907581,0.8505973,0.0763969,0.014112977,VanBoxtel_2019_Expt2
16,20,0.5393621013133209,0.3781560138396466,0.7194658902330691,0.964568,0.061491124,1.1325127,VanBoxtel_2019_Expt2
17,22,0.4227579737335835,0.3712470421333516,0.1874114997608302,0.81017166,0.102610126,0.5738804,VanBoxtel_2019_Expt2
18,23,0.4644465290806754,0.3548377312318687,0.5689266380620523,0.8988002,0.18209614,2.223559,VanBoxtel_2019_Expt2
19,24,0.5587617260787993,0.3486093849354949,0.26761530035853065,0.84938145,0.09116746,0.67190313,VanBoxtel_2019_Expt2
20,25,0.7610131332082553,0.24115434575333988,1.0859718876810684,0.9026775,0.426587,0.93954873,VanBoxtel_2019_Expt2
21,26,0.7131332082551595,0.28545223832912925,0.37230581643648114,0.8143485,0.22480604,-0.034819447,VanBoxtel_2019_Expt2
22,27,0.6268667917448405,0.46783406516874804,1.2608041338272618,0.96438783,0.17995396,-1.5256206,VanBoxtel_2019_Expt2
23,28,0.7331519699812382,0.4103936829598206,0.6890789931731449,0.9392366,0.11472774,1.284054,VanBoxtel_2019_Expt2
24,29,0.636360225140713,0.36175920509648335,0.40633869558635055,0.87829787,0.12927678,1.1676989,VanBoxtel_2019_Expt2
25,30,0.5265666041275797,0.37766081511656135,0.6382249240663241,0.8893688,0.2079163,0.07769735,VanBoxtel_2019_Expt2
26,32,0.1129831144465291,0.1586359852297661,0.8198193043702274,0.8599444,0.37616068,0.12441866,VanBoxtel_2019_Expt2
27,34,0.6770168855534708,0.3072514009231983,0.5442193109621277,0.8953028,0.24684484,1.1293899,VanBoxtel_2019_Expt2
28,35,0.7787617260787992,0.34009969477935265,0.8496665674384644,0.965653,0.07460161,0.1567427,VanBoxtel_2019_Expt2
29,36,0.26343339587242026,0.22621560187922438,0.0812298322790615,0.7592657,0.04366923,-0.33299598,VanBoxtel_2019_Expt2
30,37,0.20502814258911822,0.2678173654938467,2.326712441713904,0.7206014,5.0392966,-0.55447584,VanBoxtel_2019_Expt2
