,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,3,0.8602584493041749,0.25181340876103775,0.21340473215753647,0.7928198,0.09941033,-0.5791812,Wang_2018
1,4,0.44682270916334665,0.30807805871516986,0.34252150244143675,0.85965055,0.10785008,0.36566934,Wang_2018
2,7,0.7505120481927711,0.34718368035211383,0.6685207551504923,0.94454235,0.091219775,0.67710173,Wang_2018
3,8,0.8730516898608349,0.22521411085722487,0.3664130796316388,0.8394082,0.1728006,-0.7167051,Wang_2018
4,10,0.5483503054989817,0.3945034692365866,0.2343842406774586,0.79116637,0.12711681,0.32889432,Wang_2018
5,11,0.7865868263473054,0.27549251704194744,0.8283440554236549,0.93514496,0.1694025,0.47241423,Wang_2018
6,12,0.7805467196819086,0.30463836130641364,0.16062371067096085,0.774235,0.10444024,0.061105993,Wang_2018
7,14,0.7232364729458918,0.37447043758739135,0.36396383600774085,0.855607,0.13507473,0.2265164,Wang_2018
8,15,0.8908817635270542,0.25460581401495336,0.11569490182284113,0.74894565,0.0832157,0.6844577,Wang_2018
9,17,0.63766,0.33758354476988195,0.21331066358677195,0.7845773,0.13239618,-0.11976258,Wang_2018
10,18,0.6408051689860835,0.3776141259284647,0.3120373376022966,0.7921903,0.22929254,-0.2949124,Wang_2018
11,20,0.74854,0.2535931532489581,0.09954376071737535,0.7262136,0.10758864,0.28562132,Wang_2018
12,23,0.6016334661354581,0.37194493550181174,0.14852076168159606,0.75245523,0.09719655,-0.31230155,Wang_2018
13,24,0.7135786290322581,0.3552352270429527,0.23040300602407568,0.8225549,0.09008053,-0.48093876,Wang_2018
14,25,0.8550498007968128,0.2671742565129988,0.7484321430375073,0.91525847,0.22785793,0.5952994,Wang_2018
15,27,0.8445129224652088,0.27449502954884253,0.2378047469029384,0.80778325,0.13107035,0.24650678,Wang_2018
16,28,0.566013916500994,0.3323924290617623,0.36262308755088124,0.7242275,0.51625675,-0.33869335,Wang_2018
17,29,0.6230914512922465,0.2991710585890487,0.8822082803157398,0.9590768,0.116743155,-0.6989441,Wang_2018
18,30,0.619155069582505,0.37961834971899283,0.1338694404186436,0.76776826,0.09824667,0.58026606,Wang_2018
19,31,0.5679821073558649,0.27045290639890346,0.2591950445105613,0.82121986,0.10973152,-1.2205818,Wang_2018
20,34,0.39949203187251,0.3266682822115559,0.10477201827419476,0.72088784,0.083551265,0.25205734,Wang_2018
21,35,0.42365731462925854,0.27214158995186566,0.3833125126249077,0.81299466,0.2308747,-0.13122919,Wang_2018
22,36,0.38695390781563127,0.346926609196287,0.1865094247087122,0.7773242,0.12803008,0.1641541,Wang_2018
