,subj,mean_conf,sd_conf,sd_criterion_fluctuations,a,sigmasq,mu_x,study
0,1,0.643566958698373,0.30793949819080046,0.7776687617486767,0.88106847,0.30046064,-0.062130317,Yeon_unpub_Exp2
1,2,0.34,0.2837517182220839,0.1656721876268941,0.8525673,0.05300365,0.05110211,Yeon_unpub_Exp2
2,3,0.5027284105131414,0.3177194977956982,0.20572789913443607,0.8546063,0.07413393,0.3496292,Yeon_unpub_Exp2
3,4,0.39038798498122657,0.30358752959588975,0.16043989532764946,0.85297614,0.05380735,0.5000365,Yeon_unpub_Exp2
4,5,0.5564205256570713,0.3382402541879171,4.3129570340942305,0.92015713,5.4745283,-0.28768805,Yeon_unpub_Exp2
5,6,0.6675219023779725,0.2913345263163043,0.7466511819781689,0.868373,0.33518034,-0.16882047,Yeon_unpub_Exp2
6,8,0.7009762202753442,0.34017325408122845,0.41469308817167566,0.8738897,0.13346313,0.356935,Yeon_unpub_Exp2
7,9,0.8100125156445558,0.2772246536927986,1.1574484156318203,0.9041178,0.42174074,0.6576669,Yeon_unpub_Exp2
8,10,0.46225281602002505,0.39031146378354953,0.22277798826111145,0.860606,0.069505446,0.17590097,Yeon_unpub_Exp2
9,11,0.7038673341677096,0.10156143083059689,2.482817715939275,0.9026984,1.7220469,0.28360492,Yeon_unpub_Exp2
10,12,0.23591989987484355,0.27409385654823365,0.14189742573742548,0.84226304,0.060024325,0.90962505,Yeon_unpub_Exp2
11,13,0.4878598247809762,0.29311831440746267,1.5721975198923148,0.8990933,0.7541747,0.09555382,Yeon_unpub_Exp2
12,14,0.6394367959949938,0.40249884658406265,0.6253586792545686,0.87427825,0.2579456,1.3053855,Yeon_unpub_Exp2
13,15,0.5275093867334167,0.3870972620999956,0.666174732961742,0.86402154,0.2740287,0.115854315,Yeon_unpub_Exp2
14,16,0.43499374217772213,0.23590219015343325,0.47550695574703716,0.8972039,0.10494897,-0.12394823,Yeon_unpub_Exp2
15,17,0.30158948685857323,0.20036208249032952,0.48384913064479423,0.8809676,0.14852412,0.46613657,Yeon_unpub_Exp2
16,18,0.47175219023779724,0.33321805074220545,0.7015553886650843,0.8768949,0.26448834,-0.14224862,Yeon_unpub_Exp2
17,19,0.4651439299123905,0.3086524971063739,1.2322069330606675,0.85125166,0.86168164,0.80798507,Yeon_unpub_Exp2
18,20,0.49570713391739674,0.3579910800147067,0.15309729989170315,0.84310055,0.059439737,-0.1704928,Yeon_unpub_Exp2
19,22,0.499837296620776,0.3360553250797956,1.248617180296792,0.88216794,0.67418915,-0.0511654,Yeon_unpub_Exp2
20,24,0.8959198998748436,0.194256821950158,0.5417654722210021,0.9072948,0.12215102,1.2639686,Yeon_unpub_Exp2
21,25,0.9103754693366708,0.21981333890120494,0.23374263907345724,0.8725056,0.0597187,-0.025520677,Yeon_unpub_Exp2
22,26,0.5403128911138924,0.2872412680774539,0.7475912437389594,0.9000671,0.20923989,0.16948637,Yeon_unpub_Exp2
23,28,0.7084105131414268,0.22837247350819814,0.1458953762843653,0.8500331,0.049715087,-0.36000335,Yeon_unpub_Exp2
24,29,0.43912390488110137,0.31387302225904334,1.0084121212199502,0.8915564,0.4081592,-0.40883455,Yeon_unpub_Exp2
25,30,0.47794743429286607,0.29654027141642947,0.387659041035146,0.90405923,0.073263645,0.022797374,Yeon_unpub_Exp2
26,31,0.5465081351689612,0.26667157975687383,0.6629223961643427,0.8753165,0.24839447,0.39450565,Yeon_unpub_Exp2
27,32,0.6927158948685858,0.29162926328332855,0.3333179235815803,0.8704802,0.103058256,-0.030456934,Yeon_unpub_Exp2
28,33,0.48827284105131413,0.27088275011818763,0.24536154345334793,0.8558707,0.08346149,0.57188666,Yeon_unpub_Exp2
29,34,0.510162703379224,0.26369857965674237,1.9622837975933376,0.8793896,1.4200741,-0.23203537,Yeon_unpub_Exp2
30,35,0.5039674593241552,0.2569327539309351,0.34310441312677853,0.87889224,0.09314879,0.3274156,Yeon_unpub_Exp2
31,36,0.3416520650813517,0.26893184067703974,0.7837947763438943,0.88325346,0.30659485,0.5845696,Yeon_unpub_Exp2
32,37,0.5237922403003754,0.3260810236349232,0.15899185811618477,0.8534475,0.050572705,-0.18242832,Yeon_unpub_Exp2
33,38,0.5502252816020026,0.2320972255692254,1.2319407816024834,0.9235308,0.35979402,0.6332726,Yeon_unpub_Exp2
