"study","subj","mean_conf","sd_conf","sd_criterion_fluctuations","a","sigmasq","mu_x"
"Adler_2018_Expt1_taskA","1_Adler_2018_Expt1_taskA",0.10170912459472,0.164349749871373,0.703921346928687,0.86272436,0.30052477,0.50174224
"Adler_2018_Expt1_taskA","2_Adler_2018_Expt1_taskA",0.351616489115331,0.259391762399711,0.492406090135717,0.9348619,0.0674569,0.6596772
"Adler_2018_Expt1_taskA","3_Adler_2018_Expt1_taskA",0.219249652616952,0.219749820296855,0.0747796219001101,0.6348345,0.07679816,-0.15282622
"Adler_2018_Expt1_taskA","4_Adler_2018_Expt1_taskA",0.172172301991663,0.288869927454891,0.602948364443469,0.95800704,0.057158507,0.59403265
"Adler_2018_Expt1_taskA","5_Adler_2018_Expt1_taskA",0.38463177396943,0.38179037905696,0.163726347218228,0.7271431,0.09976618,-0.19775169
"Adler_2018_Expt1_taskA","6_Adler_2018_Expt1_taskA",0.623381194997684,0.240681490421604,0.316143353042537,0.84320956,0.1246284,-0.14064911
"Adler_2018_Expt1_taskA","7_Adler_2018_Expt1_taskA",0.334497452524317,0.240837307688793,0.387174846541956,0.92801696,0.054254986,-0.7014311
"Adler_2018_Expt1_taskA","8_Adler_2018_Expt1_taskA",0.432931912922649,0.388750249794269,0.212817301233621,0.79099095,0.10187338,-0.26797757
"Adler_2018_Expt1_taskA","9_Adler_2018_Expt1_taskA",0.257461787864752,0.27263422572531,0.1581255532284,0.7493762,0.09536106,0.0076191295
"Adler_2018_Expt1_taskA","10_Adler_2018_Expt1_taskA",0.257614636405743,0.293621419813119,0.355054887410288,0.8713879,0.10329789,-0.048004415
"Adler_2018_Expt1_taskA","11_Adler_2018_Expt1_taskA",0.43170912459472,0.411727409063976,0.182192316134128,0.7052964,0.15582472,-0.3365723
"Adler_2018_Expt1_taskB","1_Adler_2018_Expt1_taskB",0.0856600277906438,0.154579813223938,0.42857023558176,0.9446644,0.04141693,0.44534588
